id,question,context,reference_answers,generated_answer,accuracy_metric_score,automated_is_correct,is_correct_auto_from_gen,hallucination_type,hallucination_subtype,annotation_rationale,semantic_entropy,normalized_semantic_entropy,naive_entropy,internal_signal_score,hybrid_simple_score,hybrid_meta_score,response_length
medquad_3313,What is (are) Heart Attack ?,,"['A heart attack is when the supply of blood and oxygen to an area of the heart muscle is blocked, usually by a blood clot in a coronary artery.']","A sudden, severe, and often fatal condition in which the heart muscle fails to pump blood to the body, leading to death.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer describes cardiac arrest, not a heart attack (myocardial infarction). It misrepresents the definition and mechanism of a heart attack, which involves a blockage of blood flow to the heart muscle, not necessarily a complete failure to pump.",2.1549864810096064,0.6798225447066066,3.6092151844335323,0.95,0.9300979937217916,0.78,120
medquad_6096,"What is (are) TK2-related mitochondrial DNA depletion syndrome, myopathic form ?",,"['An inherited condition causing progressive muscle weakness (myopathy), typically beginning in early childhood, often leading to respiratory failure.']","A rare genetic disorder characterized by muscle weakness, ataxia, and cardiomyopathy.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer includes ataxia and cardiomyopathy as characteristics, which are not explicitly mentioned in the reference answer as defining features of TK2-related mitochondrial DNA depletion syndrome, myopathic form. While they might be associated, the core definition focuses on progressive muscle weakness (myopathy).",2.296315553376108,0.6912598610759424,3.4550586292797685,1.0,0.999567215567492,1.0,85
medquad_12837,What are the symptoms of Popliteal pterygium syndrome lethal type ?,,"['Abnormal hair quantity, abnormality of the genital system, popliteal pterygium, microcephaly']","Abnormal growth of the popliteal pterygium, which can cause pain, swelling, and other complications.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer describes symptoms related to the popliteal pterygium itself (pain, swelling), rather than the symptoms of the syndrome as a whole, which include other abnormalities like abnormal hair quantity, genital system abnormalities, and microcephaly. This misrepresents the established symptoms/definition of the syndrome.",2.292236174314717,0.69003184561478,3.638100224725731,0.99,0.9932404220419708,1.0,100
medquad_2655,Who is at risk for Childhood Liver Cancer? ?,,"['Children with Aicardi syndrome, Beckwith-Wiedemann syndrome, Familial adenomatous polyposis, Glycogen storage disease, low birth weight, Simpson-Golabi-Behmel syndrome, Trisomy 18, Alagille syndrome, Hepatitis B (mother-to-child transmission), Progressive familial intrahepatic cholestasis, or Tyrosinemia.']",Children under the age of 10 years.,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer provides an age range as a risk factor, which is a simplification and misrepresentation of the specific genetic and medical conditions that actually increase the risk of childhood liver cancer. This falls under misrepresenting established medical criteria/definitions related to risk factors for a disease.",2.182001740624909,0.6883449102524826,3.571493882317527,0.96,0.943600585224106,0.46,35
medquad_13195,What are the symptoms of Alopecia epilepsy oligophrenia syndrome of Moynahan ?,,"['Alopecia, cognitive impairment, seizures, abnormalities of the genital system']","Alopecia, seizures, and mental retardation.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer lists ""mental retardation"" as a symptom, while the correct answer specifies ""cognitive impairment."" While related, ""mental retardation"" is an outdated and less precise term than ""cognitive impairment"" in the context of this syndrome, misrepresenting the established diagnostic criteria.",2.122165788304613,0.6694687689264036,3.446863437467815,1.0,0.9450821248851575,0.96,43
medquad_3791,Who is at risk for Thalassemias? ?,,"['People with a family history of thalassemias, and those of Italian, Greek, Middle Eastern, Southern Asian, and African descent.']","People with a family history of thalassemia, including those with a history of sickle cell anemia.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The incorrect answer includes ""those with a history of sickle cell anemia"" as being at risk for thalassemia. While both are genetic blood disorders, having sickle cell anemia does not increase the risk of developing thalassemia. This is a misrepresentation of the risk factors and diagnostic criteria/definition for thalassemia.",2.2725817803335895,0.6841152834798632,3.566010109517633,0.98,0.9820407761187899,0.99,98
medquad_6300,What are the genetic changes related to mucopolysaccharidosis type VII ?,,['Mutations in the GUSB gene.'],Mutations in the MPS VII gene that affect the synthesis of glycosaminoglycans.,0.0,False,False,Factuality,B2_FabricatedEntityGuideline,"The ""MPS VII gene"" does not exist. The correct gene associated with mucopolysaccharidosis type VII is the GUSB gene. The answer fabricates a non-existent gene related to the disease.",2.2538835331354807,0.6784865502068924,3.4559249213925316,0.99,0.9812412836469243,0.86,78
medquad_7227,What are the treatments for piebaldism ?,,"['Genetic counseling, Drug therapy, Surgery and Rehabilitation']","Behavioral treatment, surgery, and medication.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"""Behavioral treatment"" is not a recognized or established treatment for piebaldism. This misrepresents the established medical treatments for the condition.",2.250207977389703,0.6773800976766783,3.296260285736767,0.9,0.9346367912600103,0.88,46
medquad_3071,What is (are) Glaucoma ?,,"[""A condition where fluid passes too slowly through the eye's drainage system, causing pressure buildup that may damage the optic nerve and lead to vision loss.""]","A group of eye diseases characterized by damage to the optic nerve, leading to vision loss.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,,2.2976988548683877,0.6916762763181653,3.4912400460332886,0.97,0.9848484848484849,0.95,91
medquad_10005,"What causes 47, XYY syndrome ?",,"[""An extra copy of the Y chromosome in each of a male's cells.""]",A genetic disorder caused by mutations in the XYY gene.,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The incorrect answer misrepresents the cause of 47, XYY syndrome. It states that it is caused by mutations in the XYY gene, which is incorrect. The correct cause is an extra copy of the Y chromosome. This is a misrepresentation of the established medical definition/criteria for the syndrome.",2.267945183823977,0.6827195288526788,3.5402011894314556,0.99,0.9856406597390569,1.0,55
medquad_2048,What are the complications of Gastritis ?,,"['Peptic ulcers, atrophic gastritis, anemia, vitamin B12 deficiency and pernicious anemia, growths in the stomach lining.']","Gastritis is a condition characterized by inflammation of the stomach lining, which can cause pain, nausea, and vomiting.",0.0,False,False,Faithfulness,B1_ExtrapolationAddition,"The question asks for complications of gastritis. The generated answer describes the symptoms of gastritis, which is an addition of detail beyond the scope of the question.",2.2859324545996045,0.6881342368962728,3.5749821978035685,0.99,0.991268218748025,1.0,121
medquad_7840,What are the genetic changes related to juvenile hyaline fibromatosis ?,,['Mutations in the ANTXR2 gene (also known as the CMG2 gene).'],Mutations in the HYAL1 gene that cause the accumulation of hyaluronic acid in the body.,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The incorrect answer states that mutations in the HYAL1 gene cause juvenile hyaline fibromatosis. However, the correct answer is that mutations in the ANTXR2 gene cause the disease. The HYAL1 gene is related to hyaluronidase deficiency, which is a different condition. Therefore, the incorrect answer misrepresents the established genetic cause (definition) of juvenile hyaline fibromatosis.",2.239951098831882,0.6742924695688913,3.2956735681111087,0.96,0.9617308194830714,0.98,87
