id,hybrid_meta_score
medquad_7766,0.96
medquad_10367,0.39
medquad_8920,0.39
medquad_10578,0.95
medquad_8951,0.16
medquad_7620,0.65
medquad_3828,0.82
medquad_10061,0.8
medquad_693,0.98
medquad_3719,0.94
medquad_2439,0.92
medquad_6499,0.74
medquad_8869,0.86
medquad_0,0.97
medquad_2315,0.89
medquad_438,0.99
medquad_3313,0.8
medquad_373,1.0
medquad_8950,0.89
medquad_240,0.91
medquad_8948,0.93
medquad_8141,0.96
medquad_343,0.96
medquad_13557,0.94
medquad_4632,0.97
medquad_3807,0.82
medquad_12836,0.91
medquad_6428,0.85
medquad_2655,0.83
medquad_10293,0.72
medquad_11442,0.97
medquad_12782,0.51
medquad_10851,0.99
medquad_6922,0.0
medquad_13194,0.86
medquad_11341,0.85
medquad_4542,0.08
medquad_3791,0.9
medquad_6299,0.71
medquad_13709,0.87
medquad_8512,0.51
medquad_3071,0.95
medquad_3219,0.96
medquad_4155,0.06
medquad_5096,0.75
medquad_12620,0.15
medquad_9223,0.14
medquad_5267,0.0
medquad_2048,0.96
medquad_2950,0.98
medquad_2220,0.94
medquad_12512,0.83
medquad_11276,0.97
medquad_2364,0.83
medquad_7276,0.95
medquad_9377,0.99
medquad_7975,0.73
medquad_825,0.99
medquad_1088,0.47
medquad_4616,0.88
medquad_8103,0.98
medquad_11390,0.9
medquad_8513,0.93
medquad_10256,0.91
medquad_9770,0.84
medquad_11308,0.96
medquad_7982,0.23
medquad_6578,0.95
medquad_1270,0.75
medquad_820,0.93
medquad_1331,0.89
medquad_7717,0.99
medquad_9262,1.0
medquad_2124,1.0
medquad_7938,0.13
medquad_11707,0.55
medquad_4076,0.74
medquad_1573,0.87
medquad_8378,0.13
medquad_6102,0.98
medquad_462,0.97
medquad_2849,0.9
medquad_234,0.96
medquad_9404,0.82
medquad_2239,0.65
medquad_327,0.94
medquad_9142,0.13
medquad_7744,0.0
medquad_13350,0.95
medquad_2407,0.62
medquad_4812,0.96
medquad_3472,0.89
medquad_657,0.95
medquad_1149,0.85
medquad_13836,0.87
medquad_8774,1.0
medquad_13078,0.96
medquad_12510,0.97
medquad_13755,0.84
medquad_7216,0.98
medquad_12252,0.99
medquad_10445,0.9
medquad_6406,0.02
medquad_11290,0.92
medquad_5390,0.26
medquad_551,0.98
medquad_1473,0.99
medquad_4942,0.63
medquad_8938,0.0
medquad_1934,0.66
medquad_12777,0.93
medquad_4944,0.94
medquad_5175,0.01
medquad_10294,0.82
medquad_13369,1.0
medquad_11327,0.96
medquad_8765,0.68
medquad_4543,0.9
medquad_11213,0.71
medquad_1053,0.97
medquad_8224,0.83
medquad_5847,0.88
medquad_4103,0.92
medquad_8910,0.78
medquad_11232,0.79
medquad_4529,0.67
medquad_214,0.81
medquad_7399,0.77
medquad_737,0.96
medquad_1365,0.82
medquad_621,0.99
medquad_1250,0.57
medquad_14031,0.88
medquad_8169,0.0
medquad_2260,0.9
medquad_10839,0.78
medquad_9284,0.92
medquad_9999,0.58
medquad_13849,0.72
medquad_534,0.96
medquad_11325,0.99
medquad_1524,0.8
medquad_10093,0.98
medquad_9293,0.95
medquad_3163,0.91
medquad_13491,0.89
medquad_2790,0.96
medquad_9429,0.79
medquad_6194,0.62
medquad_650,0.75
medquad_5574,0.69
medquad_4106,0.9
medquad_2346,1.0
medquad_1790,0.99
medquad_5167,0.42
medquad_11985,0.0
medquad_10492,0.92
medquad_2612,0.97
medquad_1425,0.54
medquad_10850,0.79
medquad_6017,0.89
medquad_4195,0.88
medquad_9643,0.98
medquad_267,0.89
medquad_13503,0.98
medquad_5387,0.89
medquad_392,0.76
medquad_13680,0.94
medquad_10126,0.91
medquad_11709,0.97
medquad_5188,1.0
medquad_2645,0.59
medquad_10521,0.9
medquad_1646,0.8
medquad_7383,0.78
medquad_14010,0.92
medquad_13720,0.91
medquad_9585,0.97
medquad_11517,0.8
medquad_10165,0.78
