id,internal_signal_score
medquad_7620,0.95
medquad_3828,0.85
medquad_10061,0.76
medquad_693,0.8
medquad_3719,0.89
medquad_2439,0.87
medquad_6499,0.99
medquad_8869,0.83
medquad_0,0.83
medquad_2315,0.94
medquad_438,0.81
medquad_3313,0.78
medquad_373,0.87
medquad_8950,0.86
medquad_240,0.98
medquad_8948,0.77
medquad_8141,0.67
medquad_343,1.0
medquad_13557,0.9
medquad_4632,0.75
medquad_3807,0.8
medquad_12836,0.96
medquad_6428,0.74
medquad_2655,0.93
medquad_10293,0.75
medquad_11442,0.8
medquad_12782,0.92
medquad_10851,0.87
medquad_6922,0.08
medquad_13194,0.92
medquad_11341,1.0
medquad_4542,0.86
medquad_3791,0.85
medquad_6299,0.86
medquad_13709,0.81
medquad_8512,0.89
medquad_3071,0.87
medquad_3219,0.93
medquad_4155,0.92
medquad_5096,0.9
medquad_12620,0.19
medquad_2990,0.95
medquad_5267,0.08
medquad_2048,0.94
medquad_2950,0.8
medquad_2220,0.9
medquad_12512,0.86
medquad_11276,0.95
medquad_2364,0.9
medquad_7276,0.88
medquad_9377,0.81
medquad_7975,0.96
medquad_825,0.94
medquad_1088,0.69
medquad_4616,0.84
medquad_8103,0.77
medquad_11390,0.9
medquad_8513,0.6
medquad_10256,0.84
medquad_9770,0.8
medquad_11308,0.93
medquad_7982,0.24
medquad_6578,0.77
medquad_1270,0.87
medquad_820,1.0
medquad_1331,0.83
medquad_7717,0.72
medquad_9262,0.96
medquad_2124,0.91
medquad_7938,0.19
medquad_11707,1.0
medquad_4076,0.86
medquad_1573,0.91
medquad_8378,0.16
medquad_6102,1.0
medquad_462,0.84
medquad_2849,0.99
medquad_234,0.88
medquad_9404,0.91
medquad_2239,0.82
medquad_327,1.0
medquad_9142,0.08
medquad_7744,0.25
medquad_13350,0.87
medquad_2407,0.88
medquad_4812,0.84
medquad_3472,0.88
medquad_657,0.74
medquad_1149,0.86
medquad_13836,0.82
medquad_8774,0.94
medquad_13078,0.85
medquad_12510,0.97
medquad_13755,0.91
medquad_7216,0.8
medquad_12252,0.94
medquad_10445,0.96
medquad_6406,0.16
medquad_11290,0.89
medquad_5390,0.3
medquad_551,1.0
medquad_1473,0.87
medquad_4942,0.83
medquad_8938,0.09
medquad_1934,0.76
medquad_12777,0.91
medquad_4944,0.9
medquad_5175,0.12
medquad_10294,0.87
