id,question,context,reference_answers,generated_answer,accuracy_metric_score,automated_is_correct,is_correct_auto_from_gen,hallucination_type,hallucination_subtype,annotation_rationale,semantic_entropy,normalized_semantic_entropy,naive_entropy,internal_signal_score,hybrid_simple_score,hybrid_meta_score,response_length
medquad_3313,What is (are) Heart Attack ?,,"['A heart attack is when the supply of blood and oxygen to an area of the heart muscle is blocked, usually by a blood clot in a coronary artery.']","A sudden, severe, and often fatal disorder of the heart muscle.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer provides a definition of a heart attack that is not entirely accurate. While sudden and severe are often characteristics, stating it is ""often fatal"" is a misrepresentation of the established medical definition and typical outcome, and the definition lacks the key element of blood supply blockage.",2.1668789794462864,0.6835742102606084,3.540485568757619,0.94,0.9117992187380475,1.0,63
medquad_373,What is the outlook for Craniosynostosis ?,,['Varies depending on suture involvement and presence of other abnormalities.'],"The prognosis is good, with most patients living into adulthood.",0.0,False,False,Faithfulness,B1_ExtrapolationAddition,"The question asks about the outlook for Craniosynostosis. The answer provides a general prognosis (""good, with most patients living into adulthood"") without acknowledging the variability in prognosis depending on the specific type and severity of craniosynostosis, which is a crucial detail not addressed in the answer but is essential for a complete and accurate response. The answer adds a general statement that is not directly inferable from the question's scope.",2.202168702719469,0.6629188350309969,3.326665518777234,0.99,0.9527667464423782,1.0,64
medquad_6096,"What is (are) TK2-related mitochondrial DNA depletion syndrome, myopathic form ?",,"['An inherited condition causing progressive muscle weakness (myopathy), typically beginning in early childhood, often leading to respiratory failure.']","A rare genetic disorder characterized by muscle weakness, muscle atrophy, and progressive muscle degeneration.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer describes general symptoms of muscle disorders but fails to mention the key feature of TK2-related mitochondrial DNA depletion syndrome, which is its association with mitochondrial DNA depletion. This is a misrepresentation of the established definition/criteria for this specific syndrome.",2.2894519085174947,0.689193698093915,3.5176028023558916,0.93,0.960385596427271,0.93,110
medquad_8139,What are the genetic changes related to pulmonary veno-occlusive disease ?,,"['Mutations in the EIF2AK4 gene, and possibly mutations in other genes.']",Mutations in the CYP11A1 gene that reduce or eliminate CYP11A1 function.,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,The generated answer incorrectly states that mutations in the CYP11A1 gene are related to pulmonary veno-occlusive disease. The correct answer is mutations in the EIF2AK4 gene. This is a misrepresentation of the established genetic causes of the disease.,2.2851707197084905,0.6879049318453038,3.428316688635707,0.98,0.9840205882722313,1.0,72
medquad_6924,What are the treatments for adenosine deaminase deficiency ?,,"['Gene therapy, bone marrow transplant']","Behavioral treatment, shaving or clipping hair, cognitive behavior therapy (CBT), and medication (though not consistently effective).",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer lists ""Behavioral treatment, shaving or clipping hair, cognitive behavior therapy (CBT), and medication"" as treatments for adenosine deaminase deficiency. These are not established or recognized medical treatments for this specific genetic disorder. This misrepresents the established medical treatments for the condition.",1.1568349054726774,0.4982216753481318,1.5127571818292402,1.0,0.5,0.83,133
medquad_11342,What are the treatments for Binswanger's disease ?,,"['Medications for symptoms, management of hypertension and diabetes.']","Behavioral treatment, shaving or clipping hair, cognitive behavior therapy (CBT), and medication (though not consistently effective).",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer lists ""Behavioral treatment, shaving or clipping hair, cognitive behavior therapy (CBT)"" as treatments for Binswanger's disease. Shaving or clipping hair is not a treatment for Binswanger's disease. This misrepresents established medical knowledge related to the treatment of the disease.",2.245934959537209,0.6760937911310698,3.411213634969427,1.0,0.9770389346171571,0.98,133
medquad_10005,"What causes 47, XYY syndrome ?",,"[""An extra copy of the Y chromosome in each of a male's cells.""]","A rare genetic disorder characterized by short stature, small hands and feet, and a small penis.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer describes symptoms of a different genetic disorder (likely Turner syndrome or a similar condition affecting sexual development) rather than explaining the cause of 47, XYY syndrome. This is a misrepresentation of the diagnostic criteria/definition of the syndrome.",2.11587130904763,0.6674830818031692,3.5946656250434157,0.98,0.909865408321993,1.0,96
medquad_2048,What are the complications of Gastritis ?,,"['Peptic ulcers, atrophic gastritis, anemia, vitamin B12 deficiency and pernicious anemia, growths in the stomach lining.']","Gastritis can lead to ulcers, bleeding, and perforation of the stomach.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer lists ""bleeding, and perforation of the stomach"" as complications of gastritis. While these can occur in severe cases, they are more directly associated with peptic ulcers, which *themselves* are a complication of gastritis. The answer misrepresents the direct complications of gastritis, which are more chronic and related to changes in the stomach lining and nutrient absorption, as listed in the correct answer.",2.2983560424618186,0.6918741094965662,3.4181968352529597,0.98,0.9897959183673468,0.94,71
medquad_2950,How to diagnose Prostate Cancer ?,,"['Physical exam and history, digital rectal exam (DRE), prostate-specific antigen (PSA) test, biopsy.']","Genetic testing for mutations in the PTEN, PIK3CA, PIK3R1, and PIK3R2 genes.",0.0,False,False,Faithfulness,B1_ExtrapolationAddition,"The answer provides genetic testing as a method to diagnose prostate cancer. While genetic testing can be used in prostate cancer, it is not a standard diagnostic method. The question asks about general diagnosis, and the answer adds a detail beyond the scope of a typical diagnostic workup.",2.2810589310089915,0.6866671601109223,3.495990796681609,0.99,0.9873216161391418,1.0,76
medquad_2220,What is (are) Cushing's Syndrome ?,,['A hormonal disorder caused by prolonged exposure to high levels of cortisol.'],"A syndrome characterized by excessive adrenocorticotropic hormone (ACTH) secretion, which results in a variety of symptoms, including obesity, hypertension, and diabetes.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"This constitutes a misrepresentation of the established medical definition of the term 'Cushing's Syndrome,' conflating it with one of its causes (ACTH-dependent forms). It also potentially misleads readers into thinking ACTH excess is necessary for the diagnosis, which is factually incorrect.

Thus, this is a clear case of A3_DiagnosticCriteriaDefinition, as the error lies in the faulty definition and misunderstanding of the medical concept being asked about.",1.6692612076222333,0.645758384176382,3.3626199868083075,0.93,0.6887346033799293,0.94,170
medquad_7840,What are the genetic changes related to juvenile hyaline fibromatosis ?,,['Mutations in the ANTXR2 gene (also known as the CMG2 gene).'],"Mutations in the FGFR1, FGFR2, FGFR3, and FGFR4 genes.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The incorrect answer lists genes (FGFR1, FGFR2, FGFR3, and FGFR4) that are not associated with Juvenile Hyaline Fibromatosis. The correct answer is mutations in the ANTXR2 gene. This is a misrepresentation of the established genetic cause of the disease.",2.2918683798871036,0.6899211284598304,3.583356556922147,0.96,0.9767501624263991,0.92,54
medquad_7012,What are the genetic changes related to medullary cystic kidney disease type 1 ?,,['Insertion of a single cytosine nucleotide into the MUC1 gene.'],Mutations in the KCNJ11 gene that cause the disease.,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The incorrect answer identifies the KCNJ11 gene as being related to medullary cystic kidney disease type 1, which is factually incorrect. The correct gene is MUC1. This is a misrepresentation of the established genetic cause of the disease.",2.2796409654537455,0.686240309945975,2.9953147863116074,0.9,0.9407821628090796,0.96,52
medquad_9378,What causes Achondrogenesis ?,,"['Mutations in the SLC26A2 and COL2A1 genes, and an unknown cause for type 1A.']",A genetic disorder that causes the bones to grow abnormally.,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer provides a general description of a genetic disorder affecting bone growth, but it fails to mention the specific genetic mutations (SLC26A2 and COL2A1) that are known to cause Achondrogenesis, which is a key diagnostic criterion/definition.",2.2852847049689617,0.6879392448277691,3.6141766111824567,0.98,0.984070515188509,1.0,60
medquad_9242,What are the symptoms of Duodenal ulcer due to antral G-cell hyperfunction ?,,"['Duodenal ulcer, hyperpepsinogenemia I.']","Abdominal pain, nausea, vomiting, and weight loss.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer lists common symptoms (abdominal pain, nausea, vomiting, and weight loss) that are not specific to duodenal ulcers caused by antral G-cell hyperfunction. The correct answer should include more specific indicators like hyperpepsinogenemia I. The generated answer provides general symptoms, misrepresenting the specific diagnostic criteria/symptoms related to the condition mentioned in the question.",2.1089224479179984,0.6652909601831088,3.5305559571612863,0.99,0.9119237643109148,1.0,50
medquad_4616,What is (are) Colonic Polyps ?,,['Extra pieces of tissue that grow in the large intestine (colon).'],"Polyps of the colon, rectum, and anus.",0.0,False,False,Faithfulness,B1_ExtrapolationAddition,"The question asks about ""Colonic Polyps,"" and the answer expands this to include polyps of the rectum and anus. While related, this is additional information not directly requested or implied by the question, thus an extrapolation.",2.270149586996049,0.6833831203300094,3.5087156354428126,0.93,0.9519309472333203,0.98,38
medquad_10257,"What are the symptoms of Prekallikrein deficiency, congenital ?",,"['Prolonged partial thromboplastin time, autosomal recessive inheritance']","Congenital blindness, cataracts, and retinal detachment.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer lists symptoms (blindness, cataracts, retinal detachment) that are not associated with Prekallikrein deficiency, congenital. This misrepresents the established symptoms/diagnostic criteria for the condition.",2.260710392028233,0.6805416395097762,3.525108611030535,0.96,0.9631025886543301,1.0,56
medquad_9771,What are the symptoms of Craniofacial dyssynostosis ?,,"['Craniosynostosis, dolichocephaly, frontal bossing, hypertelorism.']","Craniofacial dysostosis, craniofacial dysmorphism, and craniofacial dysmorphism.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer lists ""craniofacial dysostosis, craniofacial dysmorphism, and craniofacial dysmorphism"" as symptoms of Craniofacial dyssynostosis. While related, these are descriptive terms or broader categories, not specific symptoms like those listed in the correct answer (e.g., dolichocephaly, hypertelorism). The generated answer misrepresents the established medical criteria/definition of symptoms for this condition.",1.3584871095228723,0.5850685525163832,3.383438049848318,0.94,0.5577138480301445,0.82,80
medquad_1270,what research (or clinical trials) is being done for Porencephaly ?,,['Research exploring the complex mechanisms of normal brain development.'],There is no research being done for porencephaly.,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer states that there is no research being done for porencephaly, which contradicts the correct answer and general medical knowledge. This misrepresents the current state of research and understanding of the condition. Porencephaly is a condition with ongoing research to understand its causes, mechanisms, and potential treatments.",1.9561167751194168,0.6170861374415438,3.1344891315566916,0.99,0.8449930401012784,1.0,49
medquad_1331,What is the outlook for Creutzfeldt-Jakob Disease ?,,['Poor; about 70% mortality within one year.'],The prognosis is poor.,0.0,False,False,Faithfulness,B1_ExtrapolationAddition,"The question asks for the outlook of Creutzfeldt-Jakob Disease. The generated answer states ""The prognosis is poor."" while this is true, the reference answer provides more specific information about the prognosis, including mortality rate and timeline. The generated answer is not wrong, but it is incomplete and adds less information than the reference answer.",2.1652357051767406,0.6830558149456409,3.4347814065398947,0.99,0.9365896489073547,0.99,22
medquad_7719,What are the genetic changes related to acatalasemia ?,,['Mutations in the CAT gene.'],Mutations in the ACTA1 gene that reduce or eliminate ACTA1 function.,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The answer incorrectly states that mutations in the ACTA1 gene are related to acatalasemia. Acatalasemia is caused by mutations in the CAT gene, not the ACTA1 gene. This is a misrepresentation of the established genetic cause of acatalasemia.",2.278678711884065,0.6859506427580663,3.443699555904869,1.0,0.9913810923249067,1.0,68
medquad_5122,What are the genetic changes related to steatocystoma multiplex ?,,"['Mutations in the KRT17 gene that alter keratin 17 structure, preventing the formation of strong, stable networks within cells; in some cases, no identified KRT17 mutation.']",Mutations in the SLC22A10 gene that reduce or eliminate GLUT10 function.,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The incorrect answer states that mutations in the SLC22A10 gene are related to steatocystoma multiplex. However, the correct answer indicates that mutations in the KRT17 gene are related to steatocystoma multiplex. Therefore, the incorrect answer misrepresents the established genetic cause of steatocystoma multiplex.",2.255725398397,0.6790410068985812,3.318172574129503,0.99,0.9762252238818723,1.0,72
medquad_1573,What are the treatments for What I need to know about Cirrhosis ?,,"['Stopping alcohol consumption, treating hepatitis C with medicine, and liver transplant.']","Liver transplantation, liver resection, and liver chemotherapy.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The incorrect answer lists ""liver resection"" and ""liver chemotherapy"" as treatments for cirrhosis. While liver transplantation is a valid treatment, resection and chemotherapy are not standard treatments for cirrhosis itself. They might be used for complications like liver cancer that can arise from cirrhosis, but not for the cirrhosis itself. This misrepresents the established treatments for cirrhosis.",2.152441248326232,0.6479493796506199,3.0441507813763744,0.83,0.849352869721819,1.0,63
medquad_8571,What is (are) leptin receptor deficiency ?,,"['A condition causing severe obesity, hyperphagia, abnormal eating behaviors, and hypogonadotropic hypogonadism.']","A rare genetic disorder characterized by obesity, growth retardation, and a reduced ability to respond to leptin.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer mentions ""growth retardation"" which is not a typical characteristic of leptin receptor deficiency. The correct answer mentions ""hyperphagia, abnormal eating behaviors, and hypogonadotropic hypogonadism"" which are more specific and accurate diagnostic criteria.",2.1272757808792733,0.6710807921043448,3.497746100866938,0.9,0.8740443777443421,1.0,113
medquad_2407,What are the symptoms of Breast Cancer ?,,"[""A lump or thickening in or near the breast or underarm, change in breast size or shape, dimple or puckering in breast skin, nipple turning inward, nipple fluid (other than milk), scaly/red/swollen breast skin, peau d'orange.""]",Breast cancer is the most common cancer in women.,0.0,False,False,Faithfulness,B1_ExtrapolationAddition,"The answer provides a statistical fact about breast cancer's prevalence, which is not a symptom as requested by the question. It adds information beyond the scope of the question.",1.7906710593318218,0.6378499010803305,3.5093455625658305,0.97,0.7623217432648963,0.94,49
medquad_3472,Who is at risk for Restless Legs Syndrome? ?,,"['People of Northern European descent, women, older adults, and those with certain diseases, conditions, or medications.']","People with a family history of Restless Legs Syndrome, or those who have a history of restless legs syndrome in a first-degree relative.",0.0,False,False,Faithfulness,B1_ExtrapolationAddition,"The generated answer provides a risk factor (family history) not explicitly mentioned or reasonably inferable from the question's scope, even though it is a plausible risk factor. The question asks for risk factors in general, and the answer adds a specific one not directly addressed.",2.2588933575635783,0.6799946576327599,3.492975313355079,0.97,0.9674087465010923,1.0,137
medquad_4990,What are the genetic changes related to spondylocostal dysostosis ?,,"['Mutations in DLL3, MESP2, LFNG, and HES7 genes.']","Mutations in the COL11A1, COL11A2, COL11A3, COL11A4, COL11A5, COL11A6, COL11A7, COL11A",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The answer lists genes associated with a different condition (likely a collagen disorder, given the COL genes) rather than the genes known to be associated with spondylocostal dysostosis. This constitutes a misrepresentation of the established genetic causes (a key diagnostic/definitional aspect) of the disease.",2.2610338627423343,0.6806390138974396,3.441361348370862,0.87,0.9173259053742122,1.0,86
medquad_5384,How many people are affected by juvenile myoclonic epilepsy ?,,"['1 in 1,000']",At least 100,0.0,False,False,Factuality,B1_StatisticalEpidemiological,"The answer provides an incorrect statistic about the prevalence of juvenile myoclonic epilepsy, which is a factuality error related to statistical/epidemiological data.",2.145418558579586,0.6768042012361248,3.412815741857728,0.99,0.9279095001326136,0.99,12
medquad_7218,What are the treatments for Senior-Lken syndrome ?,,"['Genetic counseling, drug therapy, surgery and rehabilitation, palliative care']","Behavioral treatment, shaving or clipping hair, cognitive behavior therapy (CBT), and medication (though not consistently effective).",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,The generated answer lists treatments that are not standard treatments for Senior-Loken syndrome. This indicates a misunderstanding or misrepresentation of the established medical treatments for the syndrome.,2.0830072498716925,0.6571156254245532,3.0653276334841055,1.0,0.9056746364074664,1.0,133
medquad_1934,What causes Alagille Syndrome ?,,"['A mutation in the JAGGED1 (JAG1) gene, or less frequently, the NOTCH2 gene.']",A genetic disorder that causes a buildup of bile acids in the liver.,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer describes a consequence of Alagille Syndrome (bile acid buildup) rather than its cause (genetic mutation), thus misrepresenting the established definition/etiology of the syndrome.",2.278683698873397,0.6859521439914433,3.4524978662129273,0.9,0.9403628685230039,1.0,68
medquad_11088,What causes 17q23.1q23.2 microdeletion syndrome ?,,['An interstitial deletion encompassing bands 23.1 to 23.2 on the long (q) arm of chromosome 17.'],"A microdeletion of 17q23.1q23.2, which is associated with a variety of clinical features, including mental retardation, microcephaly, and micrognathia.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer states that a microdeletion of 17q23.1q23.2 is associated with clinical features like mental retardation, microcephaly, and micrognathia. While these features *can* be associated, the question asks for the *cause* of the syndrome, which is the specific chromosomal deletion itself, not the associated symptoms. The answer misrepresents the definition/cause of the syndrome by focusing on its symptoms.",1.8840766348959006,0.6280255449653002,3.1431864494804236,0.97,0.8032345098083367,0.94,151
medquad_8590,What is (are) glutaric acidemia type I ?,,['An inherited disorder in which the body cannot properly process certain proteins.'],A rare metabolic disorder that causes a buildup of glutaric acid in the body.,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer provides a definition of glutaric acidemia type I, which is a rare metabolic disorder that causes a buildup of glutaric acid in the body. While this is related to the correct answer, it is not the same. The correct answer states that it is an inherited disorder in which the body cannot properly process certain proteins. The generated answer is a misrepresentation of the established medical definition.",2.284948654786047,0.6878380836426635,3.4861612573920007,0.97,0.9788212803465857,1.0,77
medquad_13370,What is (are) Schindler disease type 1 ?,,"['The most severe form of Schindler disease, an inherited condition causing neurological problems, characterized by developmental regression, blindness, seizures, and early death.']","A rare genetic disorder characterized by progressive blindness, deafness, and intellectual disability.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer describes symptoms of a rare genetic disorder, but it doesn't accurately reflect the specific characteristics of Schindler disease type 1 as described in the correct answer (developmental regression, seizures, early death). It misrepresents the established medical definition/criteria for this specific condition.",2.261330267576554,0.6807282406433994,3.442857017800748,0.98,0.973578183239409,1.0,102
medquad_8225,What are the treatments for granulomatosis with polyangiitis ?,,['Drug therapy'],"Behavioral treatment, corticosteroid therapy, and immunosuppressive therapy.",0.0,False,False,Faithfulness,B1_ExtrapolationAddition,"The question asks for treatments for granulomatosis with polyangiitis. While corticosteroid and immunosuppressive therapies are valid treatments, behavioral treatment is not a standard or typical treatment for this condition. The answer adds an element beyond the scope of common treatments for the disease as defined by the question.",2.1362177867457226,0.6739016808832216,3.3101964180627945,0.95,0.9034712880422235,1.0,76
medquad_10544,What causes Alport syndrome ?,,"['Mutations in the COL4A3, COL4A4, or COL4A5 genes.']",A mutation in the COL4A1 gene.,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The incorrect answer states that a mutation in the COL4A1 gene causes Alport syndrome. However, Alport syndrome is caused by mutations in the COL4A3, COL4A4, or COL4A5 genes. This is a misrepresentation of the established genetic cause of Alport syndrome.",2.26650470787459,0.6822859023838808,3.528236783138223,0.85,0.9095181197692812,0.93,30
