id,hybrid_meta_score
medquad_7620,1.0
medquad_3828,0.82
medquad_10061,0.97
medquad_693,0.81
medquad_3719,0.91
medquad_2439,0.83
medquad_6499,1.0
medquad_8869,0.82
medquad_0,0.96
medquad_2315,0.7
medquad_438,1.0
medquad_3313,0.71
medquad_373,0.79
medquad_8950,0.99
medquad_240,0.97
medquad_8948,0.92
medquad_8141,0.98
medquad_343,0.63
medquad_13557,0.98
medquad_4632,0.96
medquad_3807,0.94
medquad_12836,1.0
medquad_6428,0.49
medquad_2655,0.81
medquad_10293,1.0
medquad_11442,0.99
medquad_12782,0.82
medquad_10851,0.6
medquad_6922,0.0
medquad_13194,0.88
medquad_11341,0.88
medquad_4542,0.22
medquad_3791,0.96
medquad_6299,0.95
medquad_13709,1.0
medquad_8512,0.95
medquad_3071,1.0
medquad_3219,0.8
medquad_4155,0.1
medquad_5096,1.0
medquad_12620,0.0
medquad_2990,0.88
medquad_5267,0.0
medquad_2048,0.97
medquad_2950,0.93
medquad_2220,0.87
medquad_12512,0.98
medquad_11276,0.91
medquad_2364,0.61
medquad_7276,0.78
medquad_9377,0.61
medquad_7975,0.91
medquad_825,0.93
medquad_1088,0.94
medquad_4616,0.83
medquad_8103,0.91
medquad_11390,0.76
medquad_8513,0.91
medquad_10256,0.99
medquad_9770,0.93
medquad_11308,1.0
medquad_7982,0.0
medquad_6578,0.95
medquad_1270,0.91
medquad_820,0.89
medquad_1331,0.7
medquad_7717,0.96
medquad_9262,1.0
medquad_2124,0.85
medquad_7938,0.08
medquad_11707,0.99
medquad_4076,0.96
medquad_1573,0.98
medquad_8378,0.09
medquad_6102,0.86
medquad_462,0.94
medquad_2849,0.93
medquad_234,0.9
medquad_9404,0.76
medquad_2239,0.98
medquad_327,0.95
medquad_9142,0.0
medquad_7744,0.0
medquad_13350,0.99
medquad_2407,0.67
medquad_4812,0.89
medquad_3472,1.0
medquad_657,0.95
medquad_1149,0.96
medquad_13836,0.97
medquad_8774,0.99
medquad_13078,0.97
medquad_12510,0.93
medquad_13755,0.99
medquad_7216,0.89
medquad_12252,1.0
medquad_10445,0.91
medquad_6406,0.0
medquad_11290,0.98
medquad_5390,0.01
medquad_551,0.87
medquad_1473,0.91
medquad_4942,0.83
medquad_8938,0.0
medquad_1934,0.8
medquad_12777,1.0
medquad_4944,0.93
medquad_5175,0.27
medquad_10294,0.93
medquad_13369,0.83
medquad_11327,0.99
medquad_8765,0.97
medquad_4543,0.93
medquad_11213,0.71
medquad_1053,0.92
medquad_8224,0.95
medquad_5847,0.95
medquad_4103,0.94
medquad_6010,0.99
medquad_11232,1.0
medquad_4529,0.92
medquad_214,0.93
