id,internal_signal_score
medquad_7620,0.84
medquad_3828,0.92
medquad_10061,0.88
medquad_693,0.98
medquad_3719,0.96
medquad_2439,0.89
medquad_6499,0.92
medquad_8869,0.91
medquad_0,0.86
medquad_2315,0.91
medquad_438,0.79
medquad_3313,0.92
medquad_373,0.9
medquad_8950,0.83
medquad_240,0.84
medquad_8948,0.83
medquad_8141,0.98
medquad_343,0.96
medquad_13557,0.94
medquad_4632,0.84
medquad_3807,0.88
medquad_12836,0.88
medquad_6428,0.68
medquad_2655,0.64
medquad_10293,0.85
medquad_11442,0.77
medquad_12782,0.84
medquad_10851,0.85
medquad_6922,0.17
medquad_13194,0.81
medquad_11341,0.61
medquad_4542,0.34
medquad_3791,0.84
medquad_6299,0.85
medquad_13709,0.92
medquad_8512,0.91
medquad_3071,0.96
medquad_3219,0.86
medquad_4155,0.29
medquad_5096,0.86
medquad_12620,0.19
medquad_2990,0.88
medquad_5267,0.07
medquad_2048,0.84
medquad_2950,0.91
medquad_2220,0.91
medquad_12512,0.85
medquad_11276,0.97
medquad_2364,0.82
medquad_7276,0.85
medquad_9377,0.83
medquad_7975,0.8
medquad_825,0.97
medquad_1088,0.87
medquad_4616,0.9
medquad_8103,0.91
medquad_11390,0.78
medquad_8513,0.77
medquad_10256,0.77
medquad_9770,0.88
medquad_11308,0.93
medquad_7982,0.13
medquad_6578,0.78
medquad_1270,0.95
medquad_820,0.89
medquad_1331,0.92
medquad_7717,0.91
medquad_9262,0.9
medquad_2124,0.94
medquad_7938,0.16
medquad_11707,0.88
medquad_4076,0.89
medquad_1573,0.75
medquad_8378,0.07
medquad_6102,0.93
medquad_462,0.84
medquad_2849,0.96
medquad_234,0.88
medquad_9404,0.89
medquad_2239,0.89
medquad_327,0.99
medquad_9142,0.15
medquad_7744,0.34
medquad_13350,0.85
medquad_2407,0.94
medquad_4812,0.82
medquad_3472,0.8
medquad_657,0.91
medquad_1149,0.96
medquad_13836,0.94
medquad_8774,0.93
medquad_13078,0.99
medquad_12510,0.88
medquad_13755,0.96
medquad_7216,0.74
medquad_12252,0.92
medquad_10445,0.88
medquad_6406,0.23
medquad_11290,0.96
medquad_5390,0.31
medquad_551,1.0
medquad_1473,0.81
medquad_4942,0.91
medquad_8938,0.05
medquad_1934,0.88
medquad_12777,0.99
medquad_4944,0.87
medquad_5175,0.13
medquad_10294,0.88
medquad_13369,0.9
medquad_11327,0.94
medquad_8765,0.84
medquad_4543,0.86
medquad_11213,0.88
medquad_1053,0.94
medquad_8224,0.86
medquad_5847,0.74
medquad_4103,0.87
medquad_6010,0.88
medquad_11232,0.91
medquad_4529,0.88
medquad_214,0.87
medquad_10543,0.85
medquad_737,0.88
medquad_1365,0.83
medquad_621,0.87
medquad_1250,0.75
medquad_14031,0.77
medquad_8169,0.12
medquad_2260,0.94
medquad_10839,0.88
medquad_9284,0.88
medquad_9999,0.99
medquad_13849,0.91
medquad_5111,0.04
medquad_8482,0.89
medquad_1524,0.92
medquad_10093,0.79
medquad_9293,0.85
medquad_3163,0.94
