id,internal_signal_score
medquad_7766,0.83
medquad_10367,0.29
medquad_8920,0.15
medquad_10578,0.69
medquad_8951,0.09
medquad_7620,0.76
medquad_3828,0.71
medquad_10061,0.85
medquad_693,0.93
medquad_3719,0.84
medquad_2439,0.81
medquad_6499,0.96
medquad_8869,0.79
medquad_0,0.93
medquad_2315,0.99
medquad_438,0.83
medquad_3313,0.89
medquad_373,0.89
medquad_8950,0.82
medquad_240,0.84
medquad_8948,0.81
medquad_8141,0.87
medquad_343,0.81
medquad_13557,0.73
medquad_4632,0.7
medquad_3807,0.87
medquad_12836,0.84
medquad_6428,0.8
medquad_2655,0.81
medquad_10293,0.66
medquad_11442,0.78
medquad_12782,0.76
medquad_10851,0.71
medquad_6922,0.16
medquad_13194,0.8
medquad_11341,0.83
medquad_4542,0.4
medquad_3791,0.81
medquad_6299,0.75
medquad_13709,0.86
medquad_8512,0.75
medquad_3071,0.75
medquad_3219,0.86
medquad_4155,0.48
medquad_5096,0.77
medquad_12620,0.29
medquad_9223,0.15
medquad_5267,0.07
medquad_2048,0.97
medquad_2950,0.93
medquad_2220,0.77
medquad_12512,0.77
medquad_11276,0.95
medquad_2364,0.8
medquad_7276,0.81
medquad_9377,0.7
medquad_7975,0.6
medquad_825,0.92
medquad_1088,0.76
medquad_4616,0.85
medquad_8103,0.64
medquad_11390,0.91
medquad_8513,0.68
medquad_10256,0.9
medquad_9770,0.85
medquad_11308,0.88
medquad_7982,0.21
medquad_6578,0.83
medquad_1270,0.69
medquad_820,0.98
medquad_1331,0.92
medquad_7717,0.74
medquad_9262,0.94
medquad_2124,0.87
medquad_7938,0.13
medquad_11707,0.84
medquad_4076,0.85
medquad_1573,0.86
medquad_8378,0.19
medquad_6102,0.98
medquad_462,0.86
medquad_2849,0.93
medquad_234,0.86
medquad_9404,0.94
medquad_2239,0.77
medquad_327,0.91
medquad_9142,0.08
medquad_7744,0.13
medquad_13350,0.82
medquad_2407,0.91
medquad_4812,0.8
medquad_3472,0.76
medquad_657,0.93
medquad_1149,0.9
medquad_13836,0.77
medquad_8774,0.98
medquad_13078,0.77
medquad_12510,0.88
medquad_13755,0.88
medquad_7216,0.57
medquad_12252,0.84
medquad_10445,0.82
medquad_6406,0.16
medquad_11290,0.7
medquad_5390,0.32
medquad_551,0.91
medquad_1473,0.92
medquad_4942,0.76
medquad_8938,0.1
medquad_1934,0.75
medquad_12777,0.89
medquad_4944,0.8
medquad_5175,0.09
medquad_10294,0.83
medquad_13369,0.74
medquad_11327,0.8
medquad_8765,0.75
medquad_4543,0.78
medquad_11213,0.74
medquad_1053,0.85
medquad_8224,0.85
medquad_5847,0.78
medquad_4103,0.89
medquad_8910,0.79
medquad_11232,0.83
medquad_4529,0.8
medquad_214,0.86
medquad_7399,0.81
medquad_737,0.94
medquad_1365,0.77
medquad_621,0.79
medquad_1250,0.66
medquad_14031,0.87
medquad_8169,0.04
medquad_2260,0.85
medquad_10839,0.96
medquad_9284,0.77
medquad_9999,0.73
medquad_13849,0.81
medquad_534,0.7
medquad_11325,0.89
medquad_1524,0.79
medquad_10093,0.72
medquad_9293,0.72
medquad_3163,0.86
medquad_13491,0.75
medquad_2790,0.58
medquad_9429,0.8
medquad_6194,0.66
medquad_650,0.77
medquad_5574,0.82
medquad_4106,0.82
medquad_2346,0.8
medquad_1790,0.89
medquad_5167,0.88
medquad_11985,0.06
medquad_10492,0.66
medquad_2612,0.92
medquad_1425,0.68
medquad_10850,0.69
medquad_6017,0.71
medquad_4195,0.91
medquad_9643,0.88
medquad_267,0.79
medquad_13503,0.85
medquad_5387,0.84
medquad_392,0.76
medquad_13680,0.5
medquad_10126,0.87
medquad_11709,0.84
medquad_5188,0.96
medquad_2645,0.95
medquad_10521,0.82
medquad_1646,0.87
medquad_7383,0.97
medquad_14010,0.95
