"accuracy_metric_score","annotation_id","annotation_notes","annotator","context","created_at","factuality_subtype_choice","faithfulness_subtype_choice","generated_answer","hallucination_subtype","hallucination_type","high_temp_samples","id","is_correct","lead_time","question","reference_answers","selected_for_annotation","updated_at"
0.0,416,"","1","","2025-04-14T10:27:18.912474Z","A2_ContraindicationIndication","","1. Tocilizumab (Actemra) 2. Infliximab (Remicade)","","","[""M1177, M1288"",""Adalimumab"",""rhuMAb 5191 and rhuMAb 5192"",""ABT-199"",""Adalimumab and Infliximab"",""A, B, C, D, E, F"",""TN10 and TN20"",""1) OmpF (C. difficile) 2) NasA (C. difficile)"",""Omnitrex (ABT-888) and Adcetris (brentuximab vedotin)"",""TN181 and TN182""]","5a7240aa2dc08e987e00000d",False,188.248,"List two human monoclonal antibodies against Clostridium difficile toxins.","[""actoxumab"",""bezlotoxumab""]",True,"2025-04-14T10:27:18.912501Z"
0.0,417,"","1","","2025-04-14T10:28:03.944264Z","A3_DiagnosticCriteriaDefinition","","inhibition of IL-17A","","","[""blockade of IL-17A and IL-17F signaling pathways"",""Blockade of JAK\/STAT pathway"",""Inhibition of the JAK\/STAT pathway"",""Inhibiting the 11-beta-hydroxysteroid dehydrogenase type 1 (11β-HSD1) enzyme"",""an inhibitor of the JAK\/STAT pathway"",""inhibits janus kinase 1 (JAK1) and janus kinase 2 (JAK2)"",""It's a Janus kinase 2 (JAK2) inhibitor"",""Inhibiting the receptor, JAK2"",""inhibition of Janus kinases (JAKs)"",""blockade of JAK1 and JAK2""]","5cd96f33a49efeb44c000004",False,44.787,"What is the mode of action of filgotinib?","[""JAK1 inhibitor""]",True,"2025-04-14T10:28:03.944281Z"
0.0,418,"","1","","2025-04-14T11:42:24.090951Z","","A1_ContextIgnorant","selenoprotein synthesis is dependent on the presence of selenocysteine","","","[""amino acids, selenomethionine, and 20 mM glutamine"",""selenoprotein P (SPP) is a 475 amino acid selenoprotein, which contains two selenocysteine residues."",""Nicotinamide adenine dinucleotide (NAD), selenoprotein, and thioredoxin"",""selenium"",""Selenium ions"",""D-3-dehydrocholesterol, lipoyl, selenoprotein"",""Ribosomes, selenocysteine, and thioredoxin."",""Cysteine and methionine"",""sulphur"",""Thioredoxin, glutaredoxin, selenocysteine""]","51766e438ed59a060a000031",False,4459.887,"Name the factors required for selenoprotein synthesis in eukaryotes","[""eFSec"",""SBP2"",""SECp43"",""PSTK"",""Sec synthase"",""SPS2"",""tRNASec"",""SECIS element"",""(L30)"",""SPS1""]",True,"2025-04-14T11:42:24.090969Z"
0.0,419,"","1","","2025-04-14T12:00:00.635718Z","A3_DiagnosticCriteriaDefinition","","short stature, bowing of the long bones, and aortic root dilatation","","","[""Scoliosis, joint contractures, and lens dislocation"",""Elevation of the scapula"",""Bowing of the legs and flat feet"",""Pectus excavatum"",""short stature, kyphoscoliosis, ocular abnormalities, cleft lip, hypotonia, and dental anomalies"",""Arthropathy"",""Hip, wrist and shoulder dislocation"",""Osteopenia"",""Ocular, orthopedic, cardiac, and pulmonary problems"",""Skeletal dislocation and abnormalities of the neck and spine""]","532f0b2cd6d3ac6a3400002c",False,1056.296,"Which are the musculoskeletal manifestations of Marfan syndrome?","[""scoliosis"",""dural ectasia"",""pectus excavatum and carinatum"",""arachnodactyly"",""otto pelvis"",""dolichostenomelia"",""ligamentous laxity""]",True,"2025-04-14T12:00:00.635735Z"
0.0,420,"","1","","2025-04-14T12:00:42.581233Z","B2_FabricatedEntityGuideline","","Bmal1, Clock, Per1, Per2, Per3, Cry1, Cry2, Cryptochrome 1, Cryptochrome 2, Cryptochrome 3, Cryptochrome 4, Cryptochrome 5, Cryptochrome","","","[""Clock, CLOCK, BMAL1, PER1, PER2, PER3, RORα, RORβ, NPAS2"",""Bmal1, Per1, Per2, Per3, Ror2, Clock"",""period1, period2, timeless, clock, cryptochrome, daf-2, and clock-controlled gene-24"",""BMAL1, CLOCK, PER1, PER2, PER3, CRY1, CRY2, BNIP3L, BCL2L11, BCL2L12"",""Arntl, Bmal1, Cry1, Cry2, Per1, Per2, Per3"",""Clock, Bmal1, Cryptochrome, Cry2, Dbp, Per1, Per2, Per3, Per4, Rev-ErbA"",""CLOCK, BMAL1, PER1, PER2, PER3"",""Per1, Per2, Per3, BMAL1, CLOCK, NR2C2, NPAS2, NPAS3, ARNT2, BHLHE40, BHLHE40, CLK2, BHL"",""Ror"",""CRY1, CRY2, PER2, PER3""]","56e30dd551531f7e33000016",False,41.704,"List core circadian clock genes.","[""CLOCK"",""BMAL1"",""Per"",""Cry"",""CKlε""]",True,"2025-04-14T12:00:42.581253Z"
0.0,421,"","1","","2025-04-14T12:01:38.850982Z","","A1_ContextIgnorant","Migraine","","","[""Physiotherapy"",""Cefotaxime"",""carbamazepine"",""oxygen"",""lidocaine"",""antivertical drug"",""acetaminophen"",""triptans"",""Diuretics"",""amitriptyline""]","53262cdcd6d3ac6a34000003",False,56.027,"What is the definitive treatment for low pressure headache?","[""epidural blood patch""]",True,"2025-04-14T12:01:38.851002Z"
0.0,422,"","1","","2025-04-14T12:02:15.092043Z","A3_DiagnosticCriteriaDefinition","","DNA-dependent protein kinase","","","[""Olaparib is a potent and selective inhibitor of the poly ADP ribose polymerase 1 (PARP1)"",""BRCA1"",""PARP"",""BRCA1"",""LRRK2"",""PARP1"",""Poly ADP-ribose polymerase (PARP)"",""DNA repair"",""BRCAness"",""Buboform polyposis syndrome (BPS)""]","5e42d1a748dab47f26000010",False,36.002,"What is drug target for olaparib?","[""poly ADP ribose polymerase (PARP)""]",True,"2025-04-14T12:02:15.092063Z"
0.0,423,"","1","","2025-04-14T12:02:52.081733Z","B2_FabricatedEntityGuideline","","Non-small cell lung cancer","","","[""Ovarian cancer"",""breast cancer"",""metastatic melanoma"",""glioblastoma multiforme"",""malignant melanoma"",""prostate"",""Hodgkin's lymphoma"",""breast cancer"",""Hodgkin lymphoma"",""pancreatic cancer""]","550e866271445a662f000005",False,36.756,"Intetumumab has been tested in clinical trials for treatment of which cancers?","[""prostate cancer"",""melanoma"",""angiosarcoma""]",True,"2025-04-14T12:02:52.081751Z"
0.0,424,"","1","","2025-04-14T12:03:21.065491Z","A3_DiagnosticCriteriaDefinition","","yes","","","[""no"",""yes"",""yes"",""yes"",""yes"",""no"",""yes"",""yes"",""yes"",""yes""]","5327139ad6d3ac6a3400000d",False,28.741,"Is the Prostate- Specific Antigen (PSA) test relevant only for prostate cancer?","[""no""]",True,"2025-04-14T12:03:21.065508Z"
0.0,425,"","1","","2025-04-14T12:06:26.517089Z","A3_DiagnosticCriteriaDefinition","","amino acid sequence","","","[""The Golgi retention signal"",""DDX18"",""an ERES sequence"",""Proline-rich sequence"",""glutamic acid, proline, glutamine, glutamine"",""amino acid sequence in the endoplasmic reticulum (ER) membrane"",""Leucine zipper motif"",""Arg-Ser-Gly-Lys-Gln"",""lysine-arginine-glutamic acid-valine (KREV)"",""N-terminal sequence""]","623e02e0f0baec9a1b000005",False,185.217,"What is the KDEL retention signal?","[""ER retention sequence (KDEL)""]",True,"2025-04-14T12:06:26.517107Z"
0.0,426,"","1","","2025-04-14T12:07:08.033468Z","A3_DiagnosticCriteriaDefinition","","GATA-1","","","[""Ikaros"",""GATA-1"",""AP-1"",""HIF1"",""Runt related transcription factor 1 (Runx1)"",""Runt-related transcription factor 2 (Runx2)"",""C-Fos"",""TAL1"",""HOB1"",""PU.1""]","5fdb43aea43ad3127800002b",False,41.268,"Which transcription factor regulates emergency granulopoiesis?","[""c\/EBPβ"",""c\/EBPbeta""]",True,"2025-04-14T12:07:08.033487Z"
0.0,427,"","1","","2025-04-14T12:30:30.232280Z","A3_DiagnosticCriteriaDefinition","","confusion, ataxia, and nystagmus","","","["""",""Involuntary eye movements, hyperventilation, and nystagmus"","""",""1) headache"",""confusion, tremor, nystagmus"",""ataxia, mental retardation, and confusion"",""headache, nausea, confusion"",""confusion, paralysis of facial muscles, ataxia"",""confusion, nausea, and vomiting."",""Headache, Lethargy, Nystagmus, Blurred vision, Hearing loss, Dilated pupils""]","5a981bcffcd1d6a10c00002d",False,1401.948,"List 3 symptoms of Wernicke encephalopathy.","[""ophthalmoplegia"",""ataxia"",""acute confusion""]",True,"2025-04-14T12:30:30.232300Z"
0.0,428,"","1","","2025-04-14T12:32:47.832820Z","A3_DiagnosticCriteriaDefinition","","covalent","","","[""c-C=N"",""Hydrogen bonds"",""covalent"",""O-H bonds"",""C-N"",""covalent"",""-N-H"",""C-N bonds"",""α-α-α-σ bonds"",""non-covalent""]","56f96333cf1c325851000004",False,137.351,"What kind of bonds are connecting keratin molecules?","[""cystine disulfide bonds"",""amide bonds"",""hydrogen bonds""]",True,"2025-04-14T12:32:47.832839Z"
0.0,429,"","1","","2025-04-14T12:33:53.937991Z","A3_DiagnosticCriteriaDefinition","","serotonin, dopamine, norepinephrine, histamine, and acetylcholine","","","[""Serotonin, Norepinephrine, and Dopamine"",""glutamate, aspartate, GABA, dopamine, norepinephrine"",""glutamate, GABA, dopamine, norepinephrine, acetylcholine, serotonin, histamine, glutamine, proline"",""monoamine oxidase, norepinephrine, epinephrine, and dopamine"",""serotonin, norepinephrine, dopamine"",""dopamine, norepinephrine, serotonin"",""dopamine, serotonin"",""serotonin, norepinephrine, dopamine, histamine"",""serotonin, norepinephrine, dopamine, histamine, and histamine metabolites."",""monoamines: 5-HT, dopamine and noradrenaline""]","56cf4b623975bb303a00000a",False,65.858,"List the neurotransmitters that are metabolized by MAOA.","[""serotonin"",""norepinephrine"",""dopamine""]",True,"2025-04-14T12:33:53.938010Z"
0.0,430,"","1","","2025-04-14T12:34:55.510583Z","B1_StatisticalEpidemiological","","10","","","[""11"",""20"",""14"",""16"",""12"",""6"",""15"",""26"",""100"",""58""]","593ff22b70f9fc6f0f000023",False,61.324,"How many Groucho-related genes (GRG) are contained in the mouse genome?","[""four"",""4""]",True,"2025-04-14T12:34:55.510609Z"
0.0,431,"","1","","2025-04-14T12:36:07.304276Z","","","obesity, hypertension, dyslipidemia, insulin resistance, and hyperglycemia","","","[""obesity, abdominal obesity, hyperinsulinemia, hypertension, and dyslipidemia"",""overweight, high blood pressure, high blood triglycerides, high blood sugar, abdominal obesity"",""obesity, hypertension, dyslipidemia, hyperglycemia, hypertriglyceridemia"",""central obesity, increased blood pressure, impaired fasting glucose, high triglycerides and low HDL cholesterol."",""hypertension, increased waist circumference, elevated triglyceride levels, reduced HDL cholesterol levels, and elevated blood glucose levels"",""dyslipidemia, hypertension, insulin resistance, abdominal obesity, and central adiposity"",""Hypertension, high blood pressure, hyperglycemia, obesity, hyperlipidemia"",""hypertension, dyslipidemia, insulin resistance, fatty liver, obesity"",""obesity, insulin resistance, hypertension, dyslipidemia, and hypertriglyceridemia"",""hypercholesterolemia, hypertriglyceridemia, hypertension, dyslipidemia, obesity""]","601ff55a1cb411341a000077",False,71.529,"What are the five traits associated with metabolic syndrome?","[""obesity"",""insulin resistance"",""dyslipidemia"",""hypertension"",""hyperglycemia""]",True,"2025-04-14T12:36:07.304294Z"
0.0,432,"","1","","2025-04-14T12:37:12.241063Z","","A1_ContextIgnorant","Lansoprazole","","","[""Dilantin and Neurontin"",""Topiramate and Topotecan"",""Lopinavir\/ritonavir"",""11-(S)-hydroxydiphenhydramine (11-hydroxydiphenhydramine) and 11-(R)-hydroxydiphenhydramine (11-hydro"",""Zyprexa, Zyprexa Mixed Aqueous Solution, Zyprexa ODT 5mg"",""Bupropion"",""bromocriptine"",""Rituximab, cyclosporine, and thalidomide"",""AstraZeneca"",""11-deoxycortisol and aldosterone""]","5c72a9147c78d6947100006e",False,64.687,"Which drugs are included in the Lonsurf pill?","[""trifluridine"",""tipiracil""]",True,"2025-04-14T12:37:12.241081Z"
