id,internal_signal_score
medquad_7620,0.85
medquad_3828,0.71
medquad_10061,0.79
medquad_693,0.96
medquad_3719,0.9
medquad_2439,0.84
medquad_6499,0.92
medquad_8869,0.82
medquad_0,0.93
medquad_2315,0.85
medquad_438,0.87
medquad_3313,0.88
medquad_373,0.91
medquad_8950,0.78
medquad_240,0.78
medquad_8948,0.85
medquad_8141,0.82
medquad_343,0.9
medquad_13557,0.84
medquad_4632,0.74
medquad_3807,0.78
medquad_12836,0.91
medquad_6428,0.74
medquad_2655,0.87
medquad_10293,0.77
medquad_11442,0.82
medquad_12782,0.87
medquad_10851,0.88
medquad_6922,0.04
medquad_13194,0.87
medquad_11341,0.87
medquad_4542,0.89
medquad_3791,0.86
medquad_6299,0.8
medquad_13709,0.94
medquad_8512,0.87
medquad_3071,0.91
medquad_3219,0.87
medquad_4155,0.97
medquad_5096,0.79
medquad_12620,0.15
medquad_2990,0.94
medquad_5267,0.05
medquad_2048,0.74
medquad_2950,0.95
medquad_2220,0.97
medquad_12512,0.84
medquad_11276,0.85
medquad_2364,0.88
medquad_7276,0.69
medquad_9377,0.6
medquad_7975,0.87
medquad_825,0.96
medquad_1088,0.87
medquad_4616,0.81
medquad_8103,0.79
medquad_11390,0.86
medquad_8513,0.53
medquad_10256,0.87
medquad_9770,0.89
medquad_11308,0.9
medquad_7982,0.15
medquad_6578,0.8
medquad_1270,0.54
medquad_820,0.99
medquad_1331,0.96
medquad_7717,0.83
medquad_9262,0.92
medquad_2124,0.91
medquad_7938,0.22
medquad_11707,0.96
medquad_4076,0.89
medquad_1573,0.88
medquad_8378,0.1
medquad_6102,0.95
medquad_462,0.77
medquad_2849,0.87
medquad_234,0.91
medquad_9404,0.92
medquad_2239,0.77
medquad_327,0.76
medquad_9142,0.14
medquad_7744,0.21
medquad_13350,0.86
medquad_2407,0.73
medquad_4812,0.86
medquad_3472,0.77
medquad_657,0.98
medquad_1149,0.98
medquad_13836,0.83
medquad_8774,0.82
medquad_13078,0.85
medquad_12510,0.9
medquad_13755,0.94
medquad_7216,0.86
medquad_12252,0.74
medquad_10445,0.89
medquad_6406,0.05
medquad_11290,0.91
medquad_5390,0.16
medquad_551,0.86
medquad_1473,0.86
medquad_4942,0.89
medquad_8938,0.16
medquad_1934,0.66
medquad_12777,0.96
medquad_4944,0.9
medquad_5175,0.23
medquad_10294,0.79
medquad_13369,0.44
medquad_11327,0.89
medquad_8765,0.86
medquad_4543,0.91
medquad_11213,0.89
medquad_1053,0.93
medquad_8224,0.83
medquad_5847,0.79
medquad_4103,0.87
medquad_6010,0.83
medquad_11232,0.95
medquad_4529,0.8
medquad_214,0.85
medquad_10543,0.66
medquad_737,0.99
medquad_1365,0.7
medquad_621,0.97
medquad_1250,0.72
medquad_14031,0.94
medquad_8169,0.12
medquad_2260,0.9
medquad_10839,0.87
medquad_9284,0.89
medquad_9999,0.9
medquad_13849,0.8
medquad_5111,0.09
medquad_8482,0.89
medquad_1524,0.94
medquad_10093,0.93
medquad_9293,0.88
medquad_3163,0.94
medquad_13491,0.92
medquad_2790,0.88
medquad_9429,0.93
medquad_6194,0.93
medquad_650,0.87
medquad_5574,0.52
medquad_4106,0.88
medquad_2346,0.94
medquad_1790,0.85
medquad_5167,0.81
medquad_11985,0.06
medquad_10492,0.75
medquad_2612,0.74
medquad_1425,0.84
medquad_10850,0.88
medquad_6017,0.66
medquad_4195,0.85
medquad_9643,0.81
medquad_267,0.9
medquad_13503,0.83
medquad_5387,0.82
medquad_392,0.92
medquad_13680,0.7
medquad_10126,0.8
medquad_11709,0.79
medquad_5188,0.91
medquad_2645,0.95
medquad_9233,0.86
medquad_1646,0.89
medquad_7383,0.97
medquad_14010,0.89
medquad_13720,0.9
medquad_9585,0.84
medquad_11517,0.95
medquad_10165,0.89
medquad_2550,0.84
medquad_7632,0.73
medquad_8255,0.91
medquad_4514,0.9
medquad_12048,0.87
medquad_7993,0.69
medquad_6148,0.8
medquad_2703,0.81
medquad_11055,0.78
medquad_13777,0.93
medquad_12609,0.77
medquad_2840,0.84
medquad_5719,0.73
medquad_866,0.82
medquad_9783,0.73
medquad_9369,0.81
medquad_3901,0.72
medquad_3558,0.78
medquad_1518,0.95
medquad_9953,0.84
medquad_6582,0.93
medquad_9224,0.89
medquad_8346,0.91
medquad_8139,0.14
medquad_5191,0.2
medquad_13890,0.91
medquad_8615,0.48
medquad_8172,0.79
medquad_6790,0.81
medquad_4730,0.83
medquad_4857,0.8
medquad_92,0.82
medquad_8564,0.83
medquad_255,0.95
medquad_8477,0.87
medquad_10733,0.77
medquad_150,0.89
medquad_8801,0.15
medquad_4160,0.79
medquad_8487,0.66
medquad_1212,0.99
medquad_13716,0.96
medquad_6938,0.93
medquad_10581,0.91
medquad_8891,0.93
medquad_2711,0.78
medquad_11057,0.87
medquad_7852,0.97
medquad_7591,0.75
medquad_13380,0.86
medquad_13909,0.96
medquad_8356,0.56
medquad_811,0.87
medquad_1289,0.9
medquad_2375,0.91
medquad_13639,0.76
medquad_12364,0.86
medquad_3269,0.89
medquad_11102,0.82
medquad_10242,0.82
medquad_3988,0.87
medquad_13534,0.84
medquad_10351,0.86
medquad_14044,0.99
medquad_874,0.88
medquad_2916,1.0
medquad_2641,0.82
medquad_1964,0.92
medquad_1072,0.98
medquad_7687,0.88
medquad_4063,0.89
medquad_13772,0.83
medquad_8571,0.68
medquad_9766,0.91
medquad_4140,0.93
medquad_2240,0.78
medquad_7996,0.8
medquad_6560,0.8
medquad_6895,0.9
medquad_7547,0.71
medquad_11528,0.82
medquad_4475,0.83
medquad_413,0.99
medquad_5613,0.93
medquad_2263,0.91
medquad_8963,0.19
medquad_12968,0.91
medquad_3771,0.74
medquad_4538,0.81
medquad_2656,0.85
medquad_3616,0.82
medquad_9280,0.9
medquad_9506,0.78
medquad_6592,0.85
medquad_7139,0.25
medquad_4796,0.67
medquad_11489,0.85
medquad_8994,0.96
medquad_7454,0.55
medquad_11665,0.79
medquad_2530,0.84
medquad_11022,0.93
medquad_10875,0.85
medquad_11473,0.97
medquad_1253,0.93
medquad_4068,0.8
medquad_8609,0.38
medquad_1796,0.93
medquad_10167,0.96
medquad_10398,0.87
medquad_4410,0.82
medquad_5651,0.9
medquad_13578,0.95
medquad_6409,0.89
medquad_13660,0.81
medquad_6577,0.84
medquad_7585,0.2
medquad_11068,0.82
medquad_1060,0.82
medquad_6190,0.91
medquad_947,0.94
medquad_2763,0.84
medquad_10296,0.9
medquad_1805,0.95
medquad_5925,0.76
medquad_13169,0.9
medquad_12066,0.8
medquad_7427,0.83
medquad_1517,0.95
medquad_2206,0.83
medquad_813,0.99
medquad_9831,0.96
medquad_2690,0.8
medquad_9225,0.94
medquad_12237,0.91
medquad_2783,0.8
medquad_4754,0.86
medquad_10832,0.82
medquad_2821,0.73
medquad_1436,0.82
medquad_13255,0.85
medquad_13876,0.93
medquad_2912,0.81
medquad_11457,0.8
medquad_8097,0.11
medquad_13231,0.87
medquad_12794,0.88
medquad_4277,0.78
medquad_13073,0.8
medquad_12014,0.9
medquad_11549,0.77
medquad_11563,0.93
medquad_6862,0.79
medquad_2668,0.89
medquad_3196,0.73
medquad_6276,0.89
medquad_2953,0.85
medquad_10343,0.85
medquad_12472,0.85
medquad_6882,0.88
medquad_8295,0.86
medquad_6779,0.84
medquad_12624,0.82
medquad_411,0.88
medquad_4745,0.7
medquad_12769,0.88
medquad_2774,0.87
medquad_7332,0.76
medquad_11785,0.87
medquad_5575,0.82
medquad_2532,0.67
medquad_3818,0.83
medquad_6694,0.94
medquad_13912,0.96
medquad_2311,0.88
medquad_250,0.77
medquad_5380,0.85
medquad_10541,0.91
medquad_5764,0.5
medquad_3587,0.92
medquad_12020,0.85
medquad_13160,0.84
medquad_7772,0.02
medquad_1115,1.0
medquad_9192,0.29
medquad_1440,0.9
medquad_6044,0.93
medquad_11743,0.86
medquad_5042,0.09
medquad_2113,0.88
medquad_11859,0.91
medquad_7644,0.16
medquad_10589,0.89
medquad_9056,0.1
medquad_6303,0.35
medquad_5632,0.81
medquad_3299,0.88
medquad_12436,0.91
medquad_13308,0.83
medquad_2830,0.86
medquad_5537,0.88
medquad_3051,0.71
medquad_11289,0.97
medquad_7896,0.71
medquad_3041,0.58
medquad_764,0.98
medquad_3851,1.0
medquad_7204,0.95
medquad_5484,0.31
medquad_12757,0.87
medquad_5429,0.86
medquad_380,0.99
medquad_5363,0.23
medquad_7153,0.62
medquad_589,0.99
medquad_11178,0.82
medquad_8939,0.87
medquad_9970,0.69
medquad_2241,0.83
medquad_6611,0.86
medquad_833,0.98
medquad_5842,0.81
medquad_7947,0.81
medquad_2991,0.84
medquad_2352,0.83
