id,question,context,reference_answers,generated_answer,accuracy_metric_score,automated_is_correct,is_correct_auto_from_gen,hallucination_type,hallucination_subtype,annotation_rationale,semantic_entropy,normalized_semantic_entropy,naive_entropy,internal_signal_score,hybrid_simple_score,hybrid_meta_score,response_length
medquad_3313,What is (are) Heart Attack ?,,"['A heart attack is when the supply of blood and oxygen to an area of the heart muscle is blocked, usually by a blood clot in a coronary artery.']","A sudden, severe pain in the center of the chest that lasts more than a few minutes, or that goes away and then comes back. It can be caused by a heart attack, a heart defect, or a heart rhythm problem.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer describes symptoms of a heart attack, not the definition of what a heart attack *is*. This is a misrepresentation of the established medical definition.",2.291547426932576,0.6898245119933206,3.633403130970553,0.96,0.97809676154221,1.0,202
medquad_373,What is the outlook for Craniosynostosis ?,,['Varies depending on suture involvement and presence of other abnormalities.'],The prognosis depends on the type of craniosynostosis and the age of the child at the time of diagnosis.,0.0,False,False,Unknown,Other_Unclear,"The generated answer is vague and doesn't provide specific details about the outlook for craniosynostosis, but it doesn't contain any explicit factual or faithfulness errors. It acknowledges that the prognosis varies, which is consistent with the reference answer. It's difficult to classify this as a specific error type without more information.",2.2374825403612517,0.6735493594231813,3.3955478794309903,0.93,0.9451151678431984,1.0,104
medquad_240,"Who is at risk for Parasites - Lice - Pubic ""Crab"" Lice? ?",,"['Adults, people with close personal contact with an infested person, and children (potentially indicating sexual abuse).']","Children with poor hygiene, poor nutrition, and crowded living conditions.",0.0,False,False,Faithfulness,B1_ExtrapolationAddition,"The generated answer adds details about ""poor hygiene, poor nutrition, and crowded living conditions"" that are not explicitly mentioned or reasonably inferable from the question, which simply asks who is at risk. While these factors might increase the risk in a general sense, they are beyond the scope defined by the question.",2.260596065761129,0.6805072238740857,3.376542066518104,0.93,0.9524650492142732,0.97,74
medquad_11443,What are the symptoms of Sialidosis type I ?,,"['Abnormality of the macula, aminoaciduria, coarse facial features, delayed skeletal maturation, gait disturbance, hyperkeratosis, incoordination, neurological speech impairment, nystagmus, opacification of the corneal stroma, pectus carinatum, retinopathy, scoliosis, seizures, sensorineural hearing impairment, short stature, short thorax, skeletal dysplasia, splenomegaly, thick lower lip vermilion, visual impairment, wide nasal bridge, abnormal form of the vertebral bodies, cognitive impairment, decreased nerve conduction velocity, EEG abnormality, frontal bossing, hernia, morphological abnormality of the central nervous system, muscular hypotonia, skeletal muscle atrophy, tremor, cataract, kyphosis.']","Abnormalities of the teeth, including enamel hypoplasia, enamel defects, and tooth discoloration.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer lists ""abnormalities of the teeth, including enamel hypoplasia, enamel defects, and tooth discoloration"" as symptoms of Sialidosis type I. However, these are not established or recognized symptoms of this condition, according to the reference answer which lists a comprehensive set of known symptoms. This constitutes a misrepresentation of the established diagnostic criteria/definition of the disease.",2.287407860091858,0.6885783782052086,3.623373096056842,0.98,0.9873067344250723,0.88,97
medquad_4542,Do you have information about Cocaine,,['Yes'],"Yes, Cocaine is a stimulant drug that is used to treat pain and is also abused as a recreational drug. Cocaine is a stimulant drug that is used to treat pain and is also abused as a recreational drug. Cocaine is a",0.0,False,False,Factuality,A2_ContraindicationIndication,"The generated answer states that cocaine is used to treat pain, which is incorrect. Cocaine is not indicated for pain treatment. This is a factuality error related to incorrect indication.",1.7230211181118886,0.6665555564659827,3.3824313649544844,0.9,0.7657318521072116,1.0,213
medquad_3791,Who is at risk for Thalassemias? ?,,"['People with a family history of thalassemias, and those of Italian, Greek, Middle Eastern, Southern Asian, and African descent.']","People with a family history of thalassemia, those with a history of blood transfusions, and those with a history of sickle cell disease.",0.0,False,False,Faithfulness,B1_ExtrapolationAddition,"The answer correctly identifies family history as a risk factor, but then adds ""those with a history of blood transfusions, and those with a history of sickle cell disease."" While these might be related to thalassemia in some contexts, they are not direct risk factors for *developing* thalassemia itself, and are not mentioned or implied by the question. The answer goes beyond the scope of the question.",2.251094264014287,0.6776468965354338,3.491970451564143,0.97,0.9704961981572946,1.0,137
medquad_6300,What are the genetic changes related to mucopolysaccharidosis type VII ?,,['Mutations in the GUSB gene.'],Mutations in the SLC35H gene that reduce or eliminate the activity of the enzyme iduronate-2-sulfatase.,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The incorrect answer states that mutations in the SLC35H gene cause mucopolysaccharidosis type VII. However, the correct answer indicates that mutations in the GUSB gene cause this condition. The incorrect answer misrepresents the established genetic cause (definition) of the disease.",2.284776405886927,0.6877862315573082,3.4488143289140685,0.93,0.9601541675275618,1.0,103
medquad_4155,What is (are) Scleroderma ?,,"['A group of diseases that cause abnormal growth of connective tissue, resulting in hard or thick tissue.']","A chronic, progressive, fibrotic disease of the skin and internal organs.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer provides a definition of scleroderma that is not incorrect, but it is incomplete and doesn't fully capture the essence of the disease as ""a group of diseases"". The reference answer is more accurate. The generated answer is missing the key aspect of scleroderma being a group of diseases.",2.2936887106005917,0.6904691026066188,3.5183859782084217,0.97,0.9840408272893604,0.99,73
medquad_11899,What are the symptoms of Small patella syndrome ?,,"['Patellar aplasia, abnormality of the hip bone, patellar hypoplasia, patellar dislocation']","A rare genetic disorder characterized by a small patella, short stature, and intellectual disability.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer includes ""short stature"" and ""intellectual disability"" as symptoms of Small Patella Syndrome, which are not listed in the correct answer and misrepresents the established symptoms of the syndrome.",2.1182129682629824,0.6682217930390145,3.557742539262973,0.94,0.9124517355300308,0.96,101
medquad_3828,Who is at risk for Asthma? ?,,"['Young children who wheeze and have respiratory infections, individuals with allergies, eczema, or parents with asthma, and those exposed to workplace irritants or dusts.']","Children with a family history of asthma, children with a history of wheezing, children with a history of eczema, children with a history of hay fever, children with a history of allergic rhinitis, children with a history of allergic",0.0,False,False,Faithfulness,B1_ExtrapolationAddition,"The answer lists risk factors for asthma, which is generally correct, but it focuses solely on ""children"" and adds redundant details like ""allergic rhinitis"" and ""allergic,"" which are not explicitly requested or implied by the question ""Who is at risk for Asthma?"". The question is broad and not limited to children.",2.2717059203423076,0.6838516233504853,3.566598180770171,0.89,0.9349452457871916,0.96,233
