id,question,context,reference_answers,generated_answer,is_correct,accuracy_metric_score,hallucination_type,hallucination_subtype,annotation_notes,high_temp_samples,selected_for_annotation,semantic_entropy,naive_entropy,internal_signal_score,se_normalized,is_normalized,hybrid_0.5_0.5
5a6f960fb750ff445500005c,Centor criteria are used for which disease?,,"[""streptococcal pharyngitis""]",Tay-Sachs disease,False,0.0,Factuality,A3_DiagnosticCriteriaDefinition,,"[""Lyme disease"",""Tay-Sachs disease"",""Nephroblastoma"",""Cancer"",""Multiple sclerosis"",""leukemia"",""Tay-Sachs disease"",""Tay-Sachs disease"",""Tay-Sachs disease"",""Tay-Sachs disease""]",True,0.8472383464369744,0.8259741463121912,0.9999888819650316,0.3698670252012277,0.9999889020428248,0.6849279636220262
530cf4e0c8a0b4a00c000004,Which mutations of alpha-myosin heavy chain gene are implicated in hypertrophic cardiomyopathy?,,"[""R403Q"",""Q1065H"",""Arg-249-->Gln""]",HETEROGENEOUS,False,0.0,Factuality,Factuality_Other,,"[""TRPV1, TRPV4, TRPV5, TRPV6, TRPV7, TRPV8, TRPV9, TRPV10, TRPV11, TRPV"",""mutations in the A-MYO gene"",""TACHYON 4"",""ALX2"",""ROSA2"",""NGST"",""KRAC"",""HGD-1 and HGD-3 mutations"",""BETA2-CH-LGAP, BETA2-CH-KAP, and TYROBP"",""A25N, A12L, A6L, A12L, A12L, A25N, A12L, A12L, A25N, A12L""]",True,1.907430448820125,1.836414964857586,,,,
5cd96f33a49efeb44c000004,What is the mode of action of filgotinib?,,"[""JAK1 inhibitor""]",It inhibits the enzyme that produces the cytokine interleukin-1beta.,False,0.0,Factuality,Factuality_Other,,"[""anti-inflammatory, antibacterial, and antiviral activity."",""it is a kinase inhibitor and targets the JAK\/STAT pathway."",""Inhibits the transcription of genes involved in the production of pro-inflammatory cytokines."",""It targets JAK1 and JAK2, and inhibits the production of prostaglandins."",""Inhibits 3D domain-containing proteins involved in inflammation"",""Anti-inflammatory, anti-tumor, and anti-atherosclerotic activities"",""It targets JAK2\/STAT signaling."",""Inhibits the synthesis of JAK inhibitors, including FLT3 inhibitors, resulting in a reduction in JAK activity."",""It is used to treat rheumatoid arthritis."",""it has a dual mechanism of action: it acts by blocking the NF-kappaB pathway and downregulating the expression of genes involved in inflammation and cell growth.""]",True,2.271751411625972,0.917933079200882,0.9999980265703668,0.9917468208897852,0.9999980478916216,0.9958724343907036
5d35e421b3a638076300000d,For how long do Drosophila embryos use maternal genome mRNA?,,"[""14 cell divisions""]",for 1000 generations,False,0.0,Factuality,Factuality_Other,,"[""during the first 2 days after fertilization."",""for about 40 hours"",""for 24 hrs"",""for 150-180 hours"",""for 10-20 hours"",""for 15-20 minutes"",""3-4 days"",""24 hours"",""for 24 hours"",""For approximately 14 hours.""]",True,1.3778826664131385,1.0614212276759956,,,,
52c7311903868f1b0600001d,How many different mutations have been associated with Muenke syndrome?,,"[""One""]",10,False,0.0,Factuality,Factuality_Other,,"[""2"",""5"",""5"",""5"",""2"",""30"",""7"",""3"",""27"",""10""]",True,1.7450014585408504,1.176363527774811,0.9998366662303824,0.7617909424857696,0.9998366656102396,0.8808138040480046
56c079b1ef6e394741000022,Idarucizumab is an antidote of which drug?,,"[""dabigatran""]",Tetanus toxin,False,0.0,Factuality,A3_DiagnosticCriteriaDefinition,,"[""Ketamine"",""Dapsone"",""Diclofenac"",""Erythromycin"",""GSK-338550"",""Tetanus toxin"",""Dilantin"",""L-Dopa"",""TAC"",""Zopiclone""]",True,2.120199738014293,1.5997518411651253,,,,
587f7a69d8d850a152000001,Which library is used for fixed-length approximate string matching?,,"[""libFLASM""]",BLAST,False,0.0,Factuality,A3_DiagnosticCriteriaDefinition,,"[""HLL"",""Bowtie"",""Univoc"",""Bowtie"",""PFAM"",""LUMAS"",""BLAST"",""BLAST"",""PFAM"",""Dictyostelium discoideum""]",True,1.406528664353806,1.7380478155281807,,,,
587e07023ec846c24f000001,Which software package is available for the analysis of conserved genomic loci?,,"[""PHYLUCE""]",GENEALOGY,False,0.0,Factuality,A3_DiagnosticCriteriaDefinition,,"[""PHENIX"",""MASCO"",""GENESIS"",""SAGA"",""HOMER"",""BLAST+"",""Genomics Suite"",""Haplotype Sequence Analysis"",""BioEdit"",""SAGE""]",True,1.7035984310826269,2.1172782482739008,,,,
54edf81f94afd61504000014,Which SWI/SNF protein complex subunit has been demonstrated to interact with the FANCA gene product?,,"[""BRG1""]",SWI/SNF complex subunit 1,False,0.0,Factuality,Factuality_Other,,"[""SWI\/SNF2B"",""TAC"",""HYAL4"",""HSP90"",""SWI\/SNF-C-1"",""SNAP-43"",""UCHL1"",""KLF3"",""SWI\/SNF0-21"",""FANCA""]",True,2.060396192899196,1.5964348935903536,,,,
623e02e0f0baec9a1b000005,What is the KDEL retention signal?,,"[""ER retention sequence (KDEL)""]",The KDEL retention signal is a protein that is involved in the regulation of cell division.,False,0.0,Factuality,A3_DiagnosticCriteriaDefinition,,"[""It is a protein that helps regulate the activity of the transcription factor DIR4"",""KDEL"",""The KDEL retention signal is an enhancer of E3 ligase activity."",""It is a signal that allows for the recognition of the cellular compartmentalization of the retina."",""KDEL retention signal"",""a protein that helps stabilize ribosomes."",""The KDEL retention signal is a protein involved in the maintenance of cell fate in embryonic development. It has been implicated in the regulation of cell fate in several cell types, including embryonic stem cells."",""KDEL is a protein involved in regulating cell migration."",""The KDEL retention signal is a protein that is present in a subset of cells of the immune system. It is associated with T-cell activation and has been implicated in several autoimmune diseases."",""The KDEL retention signal is a protein that is involved in regulating the activity of HIF-1.""]",True,2.0541188023075767,0.9065603602785954,,,,
