id,hybrid_meta_score
medquad_7620,0.99
medquad_3828,0.71
medquad_10061,0.83
medquad_693,1.0
medquad_3719,0.96
medquad_2439,0.99
medquad_6499,0.96
medquad_8869,0.77
medquad_0,0.84
medquad_2315,0.93
medquad_438,0.89
medquad_3313,0.92
medquad_373,0.86
medquad_8950,0.97
medquad_240,0.82
medquad_8948,0.77
medquad_8141,0.78
medquad_343,0.87
medquad_13557,0.85
medquad_4632,0.84
medquad_3807,0.86
medquad_12836,0.57
medquad_6428,0.8
medquad_2655,0.79
medquad_10293,0.61
medquad_11442,0.97
medquad_12782,0.9
medquad_10851,0.83
medquad_6922,0.05
medquad_13194,0.86
medquad_11341,0.89
medquad_4542,0.86
medquad_3791,0.95
medquad_6299,0.77
medquad_13709,0.99
medquad_8512,0.48
medquad_3071,0.88
medquad_3219,0.88
medquad_4155,0.97
medquad_5096,0.76
medquad_12620,0.08
medquad_2990,0.97
medquad_5267,0.19
medquad_2048,0.9
medquad_2950,0.95
medquad_2220,0.92
medquad_12512,0.86
medquad_11276,0.96
medquad_2364,0.59
medquad_7276,0.75
medquad_9377,0.54
medquad_7975,0.96
medquad_825,0.87
medquad_1088,0.88
medquad_4616,0.83
medquad_8103,0.64
medquad_11390,0.83
medquad_8513,0.63
medquad_10256,0.91
medquad_9770,0.73
medquad_11308,0.96
medquad_7982,0.07
medquad_6578,0.93
medquad_1270,0.49
medquad_820,1.0
medquad_1331,0.99
medquad_7717,0.51
medquad_9262,0.95
medquad_2124,0.86
medquad_7938,0.06
medquad_11707,1.0
medquad_4076,0.98
medquad_1573,1.0
medquad_8378,0.05
medquad_6102,0.95
medquad_462,0.8
medquad_2849,0.94
medquad_234,0.91
medquad_9404,1.0
medquad_2239,0.91
medquad_327,0.98
medquad_9142,0.0
medquad_7744,0.01
medquad_13350,0.53
medquad_2407,0.87
medquad_4812,0.8
medquad_3472,0.66
medquad_657,0.95
medquad_1149,0.91
medquad_13836,0.87
medquad_8774,0.91
medquad_13078,0.96
medquad_12510,0.98
medquad_13755,0.99
medquad_7216,0.84
medquad_12252,0.7
medquad_10445,0.81
medquad_6406,0.19
medquad_11290,0.98
medquad_5390,0.3
medquad_551,0.96
medquad_1473,0.86
medquad_4942,0.9
medquad_8938,0.06
medquad_1934,0.76
medquad_12777,0.93
medquad_4944,0.91
medquad_5175,0.01
medquad_10294,0.87
medquad_13369,0.67
medquad_11327,0.85
medquad_8765,0.98
medquad_4543,0.99
medquad_11213,0.93
medquad_1053,0.95
medquad_8224,0.84
medquad_5847,0.73
medquad_4103,0.99
medquad_6010,0.88
medquad_11232,0.96
medquad_4529,0.95
medquad_214,0.88
medquad_10543,0.44
medquad_737,0.98
medquad_1365,0.6
medquad_621,0.98
medquad_1250,0.7
medquad_14031,1.0
medquad_8169,0.04
medquad_2260,0.85
medquad_10839,0.9
medquad_9284,0.98
medquad_9999,0.95
medquad_13849,1.0
medquad_5111,0.36
medquad_8482,0.83
medquad_1524,0.8
medquad_10093,0.89
medquad_9293,0.81
medquad_3163,0.81
medquad_13491,0.97
medquad_2790,0.93
medquad_9429,0.94
medquad_6194,0.75
medquad_650,0.91
medquad_5574,0.92
medquad_4106,0.78
medquad_2346,0.97
medquad_1790,0.93
medquad_5167,0.99
medquad_11985,0.07
medquad_10492,0.73
medquad_2612,0.49
medquad_1425,0.89
medquad_10850,0.87
medquad_6017,0.7
medquad_4195,0.88
medquad_9643,0.94
medquad_267,0.95
medquad_13503,0.98
medquad_5387,0.94
