id,question,context,reference_answers,generated_answer,accuracy_metric_score,automated_is_correct,is_correct_auto_from_gen,hallucination_type,hallucination_subtype,annotation_rationale,semantic_entropy,normalized_semantic_entropy,naive_entropy,internal_signal_score,hybrid_simple_score,hybrid_meta_score,response_length
533c3af6c45e13371400000d,Which pathological conditions are caused by mutations in the CYLD gene?,,"['Brooke-Spiegler syndrome', 'Cylindromatosis', 'Multiple Familial Trichoepithelioma']",Alzheimer's disease,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"Alzheimer's disease is not caused by mutations in the CYLD gene. The CYLD gene mutations are associated with Brooke-Spiegler syndrome, cylindromatosis, and multiple familial trichoepithelioma. The incorrect answer misrepresents the established genetic causes of Alzheimer's disease.",2.0573560123641683,0.6490235609448406,3.010363703294949,0.93,0.9154555656713494,0.8531798106583991,19
5d35e421b3a638076300000d,For how long do Drosophila embryos use maternal genome mRNA?,,['14 cell divisions'],12 hours,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The answer provides a duration in ""hours"" while the correct answer is measured in ""cell divisions."" This misrepresents the established metric for measuring the duration of maternal genome mRNA usage in Drosophila embryos.",1.6340500474320498,0.6321368480108244,3.555742669717431,0.86,0.7842272776690837,0.7632818952145164,8
52c7311903868f1b0600001d,How many different mutations have been associated with Muenke syndrome?,,['One'],11,0.0,False,False,Factuality,B1_StatisticalEpidemiological,"The answer provides an incorrect number of mutations associated with Muenke syndrome, which is a statistical/epidemiological fact.",2.249073054584603,0.6770384518695801,2.8591116520701267,0.88,0.9294986880107426,0.8638705201333055,2
5e42d1a748dab47f26000010,What is drug target for olaparib?,,['poly ADP ribose polymerase (PARP)'],DNA repair,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer ""DNA repair"" is a process, not a specific drug target. The correct answer, ""poly ADP ribose polymerase (PARP)"", is a specific enzyme (protein) that olaparib targets. The generated answer misrepresents the established function/purpose of a drug target.",1.7721555718248936,0.6312545513575539,3.316388010361372,0.71,0.7310200993941087,0.7461589068800022,10
6025d9e41cb411341a0000b7,Does addition of valproic acid improve survival of patients with diffuse intrinsic pontine glioma?,,['no'],yes,0.0,False,False,Factuality,A2_ContraindicationIndication,"The generated answer incorrectly states that valproic acid improves survival for patients with diffuse intrinsic pontine glioma, which contradicts established medical knowledge. This is a factuality error related to incorrect indication.",-2.220446049250313e-16,0.0,1.1343901142311394,0.31,0.12222222222222222,0.1524660807506513,3
587f7a69d8d850a152000001,Which library is used for fixed-length approximate string matching?,,['libFLASM'],BWT,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"BWT (Burrows-Wheeler Transform) is a data compression technique, not a library for fixed-length approximate string matching. The question asks for a specific type of library, and the answer provides a completely unrelated concept. This is a misrepresentation of the function/purpose of a medical concept/method.",1.7568934141595274,0.5856311380531758,2.849160666255756,0.83,0.7943574993252605,0.7856842259127854,3
5c6aef167c78d69471000023,Which tool has been developed for GPU-accelerated alignment of bisulfite-treated DNA sequences?,,['Arioc'],Bismark,0.0,False,False,Factuality,Factuality,"The generated answer ""Bismark"" is incorrect. The correct tool for GPU-accelerated alignment of bisulfite-treated DNA sequences is ""Arioc"". This is a factual error.
Selected Subtype Code: B2_FabricatedEntityGuideline
Rationale: While Bismark is a real tool for bisulfite sequencing analysis, it's not specifically designed for GPU-accelerated alignment. The question explicitly asks for a tool with GPU acceleration. Therefore, stating Bismark is incorrect and implies it has a characteristic (GPU acceleration) it doesn't, making it a misrepresentation of the tool's capabilities in the context of the question. This is akin to inventing a guideline or study that supports the incorrect claim.",0.3865300929020495,0.24387333626264265,2.015708326123969,0.77,0.4620949371722516,0.3212214784015816,7
5327139ad6d3ac6a3400000d,Is the Prostate- Specific Antigen (PSA) test relevant only for prostate cancer?,,['no'],yes,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The answer incorrectly states that the PSA test is only relevant for prostate cancer, which contradicts the established medical understanding that PSA levels can be elevated in other conditions like benign prostatic hyperplasia (BPH) or prostatitis. This is a misrepresentation of the diagnostic criteria and purpose of the PSA test.",0.3150104827919741,0.3150104827919741,2.702192155154781,0.43,0.25760485583750053,0.2360974141204853,3
5e360f3d158f994d3a000009,What are 3 symptoms of Waardenburg Syndrome?,,"['hearing loss', 'dystopia canthorum', 'abnormal iris pigmentation']","Hearing loss, pigmentary retinopathy, and skin pigmentation",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,Pigmentary retinopathy is not a typical symptom of Waardenburg Syndrome. The generated answer misrepresents the established diagnostic criteria/symptoms of the syndrome.,1.7005682688692636,0.6057546395390792,3.5685025929804945,0.84,0.7876263627433437,0.8070132787472097,59
6206cfd5c9dfcb9c09000040,Which one was the first chromone in clinical use?,,['Khellin'],1-methyl-2-phenyl-4-pyridone,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The answer provides an incorrect name for the first chromone in clinical use. This is a misrepresentation of a medical fact, specifically the definition/identity of a medical entity (chromone).",2.1893082220746654,0.6590474445982549,3.284393430195049,0.72,0.8275727781978415,0.8501739959859861,28
5a882b5761bb38fb24000013,List the four most important interferonopathies,,"['Aicardi-Goutières syndrome', 'chilblain lupus', 'ubiquitin specific peptidase 18 (USP18)-deficiency', 'Singleton-Merten syndrome']","Hepatitis C, Hepatitis B, Hepatitis D, Hepatitis E",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The answer lists Hepatitis C, B, D, and E, which are viral infections of the liver, not interferonopathies. Interferonopathies are genetic disorders characterized by excessive production of interferon. This is a misrepresentation of the definition of interferonopathies.",2.2785370884301894,0.6859080098503603,2.885064720829649,0.86,0.924814821980371,0.8897847380419761,50
5a981bcffcd1d6a10c00002d,List 3 symptoms of Wernicke encephalopathy.,,"['ophthalmoplegia', 'ataxia', 'acute confusion']","confusion, ataxia, and nystagmus",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"Nystagmus is a sign of Wernicke encephalopathy, not a symptom. Symptoms are subjective experiences reported by the patient, while signs are objective findings observed by a healthcare professional. The model misrepresents the definition of a symptom in the context of diagnostic criteria.",1.9756977433637806,0.6585659144545936,3.170783369399457,0.63,0.730976073018771,0.799706719602428,32
56f96333cf1c325851000004,What kind of bonds are connecting keratin molecules?,,"['cystine disulfide bonds', 'amide bonds', 'hydrogen bonds']",covalent,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The answer ""covalent"" is too broad. While covalent bonds exist *within* the amino acids that make up keratin, the question asks about the bonds *connecting* the keratin molecules themselves. The reference answers specify the types of bonds responsible for the protein's structure (cystine disulfide, amide, and hydrogen bonds). The generated answer misrepresents the specific bonds relevant to the question's focus on intermolecular connections.",1.6324871191730506,0.5815036447107109,2.880262458243772,0.8,0.7505530092480144,0.7264160655402646,8
56cf4b623975bb303a00000a,List the neurotransmitters that are metabolized by MAOA.,,"['serotonin', 'norepinephrine', 'dopamine']","dopamine, serotonin, norepinephrine, histamine, acetylcholine",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer includes histamine and acetylcholine, which are not primarily metabolized by MAO-A. This is a misrepresentation of the established function/purpose of MAO-A in relation to neurotransmitter metabolism.",0.8817126932448438,0.4408563466224219,1.9761188336271474,0.74,0.5534467430881423,0.5408782867083425,61
621b4a223a8413c65300003a,What is Alphafold?,,['Highly accurate protein structure prediction approoach'],a machine learning program that predicts protein structures,0.0,False,False,Other/Unclear,Other/Unclear,"The generated answer is not incorrect, but it is not as specific as the reference answer. It is a correct but less precise definition. Therefore, it doesn't fit into either Factuality or Faithfulness errors.",1.989694192231255,0.6632313974104184,3.461919048385883,0.82,0.8395847952792912,0.8766581145474046,59
593ff22b70f9fc6f0f000023,How many Groucho-related genes (GRG) are contained in the mouse genome?,,"['four', '4']",12,0.0,False,False,Factuality,B1_StatisticalEpidemiological,"The answer provides an incorrect number of Groucho-related genes in the mouse genome, which is a statistical fact about the genome.",2.2229883529789127,0.6691861742583228,2.6290816522924505,0.99,0.9849197170727916,0.8773756028586536,2
5a7612b483b0d9ea6600001d,Is enzastaurin effective treatment of glioblastoma?,,['no'],yes,0.0,False,False,Factuality,A2_ContraindicationIndication,"The generated answer incorrectly states that enzastaurin is an effective treatment for glioblastoma, which contradicts established medical knowledge. This is a factuality error related to incorrect indication.",2.220446049250313e-16,0.0,-0.0,0.17,0.04444444444444455,0.1395446983602942,3
626aa929e764a53204000039,What happens to the expression levels of piRNAs in the case of intracranial aneurysm rupture?,,['Decreased'],piRNAs are upregulated,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,The answer contradicts the established fact that piRNA expression levels are decreased in intracranial aneurysm rupture. This is a misrepresentation of the established function/purpose of piRNAs in this specific medical context.,1.2056361876953607,0.466403743713501,3.1632565208664793,0.79,0.651884760300681,0.6141762063626084,22
5c72a9147c78d6947100006e,Which drugs are included in the Lonsurf pill?,,"['trifluridine', 'tipiracil']",Lansoprazole,0.0,False,False,Faithfulness,A1_ContextIgnorant,"The generated answer provides a drug name (Lansoprazole) that is completely unrelated to the drugs included in the Lonsurf pill, ignoring the key entity in the question.",2.2043259628688756,0.6635682350444189,3.333280296543637,0.78,0.8641820614961138,0.8495847251763163,12
58a45d6060087bc10a00001d,Which diseases are involved in the severe cutaneous reactions (SCAR) spectrum?,,"['Stevens-Johnson syndrome', 'Toxic epidermal necrolysis', 'Acute generalized exanthematous pustulosis']","allergic contact dermatitis, atopic dermatitis, psoriasis, and urticaria",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer lists conditions (allergic contact dermatitis, atopic dermatitis, psoriasis, and urticaria) that are not considered part of the SCAR spectrum. This misrepresents the established medical definition and diagnostic criteria for SCAR.",2.079061937099182,0.6558710178168919,3.0822215122707055,0.82,0.8590793560576758,0.8681141194609714,72
5fe31316a43ad31278000043,What induces downstream of gene (DoG) readthrough transcription?,,['stress conditions'],GCN4,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The answer ""GCN4"" is incorrect. DoG readthrough transcription is induced by stress conditions, not GCN4. GCN4 is a transcription factor involved in amino acid biosynthesis under starvation conditions, but it's not the direct inducer of DoG readthrough transcription. This is a misrepresentation of the established function/purpose of GCN4 in relation to DoG readthrough transcription.",2.232844027364,0.6721530278757313,3.332641179861786,0.76,0.859291842972185,0.8756492642435416,4
5c57041807647bbc4b000015,What 2 biological processes are regulated by STAMP2 in adipocytes?,,"['metabolic response', 'inflammation', 'insulin resistance']",lipolysis and lipogenesis,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The answer provides ""lipolysis and lipogenesis"" as biological processes regulated by STAMP2 in adipocytes, which is incorrect. The correct answers are metabolic response, inflammation, and insulin resistance. This constitutes a misrepresentation of the established function/purpose of STAMP2 in adipocytes, thus a factuality error related to diagnostic criteria/definition.",1.7287265713462694,0.6157848292581503,3.0595975822659884,0.85,0.7993243328788506,0.7857220411997667,25
61f6055b882a024a10000021,Which receptors are targeted by Tirzepatide?,,"['glucose-dependent insulinotropic polypeptide', 'glucagon-like peptide-1']",G protein-coupled receptors,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer states that Tirzepatide targets G protein-coupled receptors, which is a general class of receptors. The correct answer specifies the specific receptors targeted by Tirzepatide: glucose-dependent insulinotropic polypeptide (GIP) receptor and glucagon-like peptide-1 (GLP-1) receptor. The generated answer misrepresents the established function/purpose of Tirzepatide.",1.908818642466148,0.6362728808220494,3.192710090326283,0.9,0.8663871550687945,0.830083538928911,27
5e36d5b9b5b409ea53000009,Which algorithm has been developed for detecting expansions of tandem repeats?,,['ExpansionHunter'],Tandem Repeat Finder,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The answer ""Tandem Repeat Finder"" is a tool for identifying tandem repeats, but not specifically designed or developed for detecting *expansions* of tandem repeats, which is the task the ""ExpansionHunter"" algorithm was designed for. This is a misrepresentation of the established function/purpose of the medical concept/method relevant to the question.",1.5209585088979476,0.5069861696326492,2.312690707086074,0.74,0.6928909734868651,0.703988036966317,20
5a6a02a3b750ff4455000021,What protein is the most common cause of hereditary  renal amyloidosis?,,['Fibrinogen A Alpha protein'],transthyretin,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The incorrect answer, transthyretin, is a common cause of *systemic* amyloidosis, particularly cardiac amyloidosis. The question specifically asks about *renal* amyloidosis, which is most commonly caused by fibrinogen A alpha protein. The model misrepresents the established cause of hereditary renal amyloidosis.",1.8770154104156083,0.6256718034718695,2.83617653258195,0.71,0.7538940848531726,0.8083457195305327,13
52e0c9a298d0239505000010,Which histone modifications are associated with constitutive heterochromatin?,,"['H3K9Me1', 'H3K27me1', 'H3K27me2', 'H4K20me3', 'H3K79me3', 'H3S10']",H3K9me3,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer provides H3K9me3, which is associated with facultative heterochromatin, not constitutive heterochromatin as requested by the question. This is a misrepresentation of the established function/purpose of a medical concept.",0.6926627170937484,0.43702151740409484,2.0264453096703297,0.93,0.6177631887648902,0.457836048192645,7
5a96c74cfcd1d6a10c000029,"What illness is transmitted by the Lone Star Tick, Amblyomma americanum?",,"['human monocytic ehrlichiosis', 'tuleremia', 'southern tick-associated rash illness [STARI] or Masters disease', 'tide water spotted fever']",Lyme disease,0.0,False,False,Factuality,A2_ContraindicationIndication,"Lyme disease is transmitted by the blacklegged tick (Ixodes scapularis), not the Lone Star tick (Amblyomma americanum). The answer incorrectly associates a disease with the wrong vector, which is a factuality error related to disease transmission. This is akin to stating a treatment is indicated when it is contraindicated for a specific condition.",0.7676728521152049,0.38383642605760243,1.7649147438281192,0.6,0.450792466330284,0.4115630595370327,12
