id,hybrid_meta_score
medquad_7620,0.85
medquad_3828,0.81
medquad_10061,0.97
medquad_693,0.96
medquad_3719,0.86
medquad_2439,1.0
medquad_6499,0.99
medquad_8869,0.92
medquad_0,0.87
medquad_2315,0.85
medquad_438,0.57
medquad_3313,0.76
medquad_373,0.96
medquad_8950,0.85
medquad_240,1.0
medquad_8948,0.87
medquad_8141,0.71
medquad_343,0.98
medquad_13557,0.91
medquad_4632,0.98
medquad_3807,0.85
medquad_12836,0.99
medquad_6428,0.7
medquad_2655,0.47
medquad_10293,0.52
medquad_11442,0.85
medquad_12782,0.94
medquad_10851,1.0
medquad_6922,0.17
medquad_13194,0.95
medquad_11341,1.0
medquad_4542,1.0
medquad_3791,0.94
medquad_6299,0.99
medquad_13709,0.95
medquad_8512,0.9
medquad_3071,0.82
medquad_3219,0.84
medquad_4155,0.7
medquad_5096,0.91
medquad_12620,0.01
medquad_2990,0.99
medquad_5267,0.01
medquad_2048,1.0
medquad_2950,0.61
medquad_2220,0.91
medquad_12512,0.98
medquad_11276,0.9
medquad_2364,0.89
medquad_7276,0.87
medquad_9377,0.76
medquad_7975,1.0
medquad_825,0.98
medquad_1088,0.8
medquad_4616,0.57
medquad_8103,0.69
medquad_11390,0.98
medquad_8513,0.44
medquad_10256,0.96
medquad_9770,0.72
medquad_11308,0.82
medquad_7982,0.0
medquad_6578,0.84
medquad_1270,0.87
medquad_820,0.7
medquad_1331,0.69
medquad_7717,0.62
medquad_9262,1.0
medquad_2124,0.68
medquad_7938,0.0
medquad_11707,0.99
medquad_4076,0.98
medquad_1573,0.9
medquad_8378,0.02
medquad_6102,1.0
medquad_462,0.99
medquad_2849,0.99
medquad_234,0.95
medquad_9404,0.41
medquad_2239,0.92
medquad_327,1.0
medquad_9142,0.07
medquad_7744,0.02
medquad_13350,0.97
medquad_2407,0.9
medquad_4812,0.91
medquad_3472,0.92
medquad_657,0.89
medquad_1149,0.94
medquad_13836,0.98
medquad_8774,1.0
medquad_13078,0.99
medquad_12510,0.98
medquad_13755,0.97
medquad_7216,0.98
medquad_12252,0.87
medquad_10445,0.97
medquad_6406,0.0
medquad_11290,0.94
medquad_5390,0.0
medquad_551,0.99
medquad_1473,0.82
medquad_4942,1.0
medquad_8938,0.0
medquad_1934,0.8
medquad_12777,0.89
medquad_4944,0.86
medquad_5175,0.09
medquad_10294,0.98
medquad_13369,0.66
medquad_11327,0.97
medquad_8765,0.68
medquad_4543,0.94
medquad_11213,1.0
medquad_1053,0.99
medquad_8224,0.95
medquad_5847,0.57
