id,internal_signal_score
medquad_7766,0.79
medquad_10367,0.11
medquad_8920,0.11
medquad_10578,0.83
medquad_8951,0.01
medquad_7620,0.72
medquad_3828,0.89
medquad_10061,0.69
medquad_693,0.93
medquad_3719,0.91
medquad_2439,0.92
medquad_6499,0.91
medquad_8869,0.8
medquad_0,0.79
medquad_2315,0.94
medquad_438,0.88
medquad_3313,0.82
medquad_373,0.86
medquad_8950,0.92
medquad_240,0.78
medquad_8948,0.72
medquad_8141,0.84
medquad_343,0.98
medquad_13557,0.78
medquad_4632,0.91
medquad_3807,0.78
medquad_12836,0.87
medquad_6428,0.82
medquad_2655,0.81
medquad_10293,0.77
medquad_11442,0.87
medquad_12782,0.9
medquad_10851,0.77
medquad_6922,0.13
medquad_13194,0.8
medquad_11341,0.96
medquad_4542,0.33
medquad_3791,0.86
medquad_6299,0.79
medquad_13709,0.93
medquad_8512,0.82
medquad_3071,0.91
medquad_3219,0.88
medquad_4155,0.24
medquad_5096,0.82
medquad_12620,0.21
medquad_9223,0.09
medquad_5267,0.02
medquad_2048,0.73
medquad_2950,0.82
medquad_2220,0.87
medquad_12512,0.86
medquad_11276,0.8
medquad_2364,0.89
medquad_7276,0.81
medquad_9377,0.83
medquad_7975,0.74
medquad_825,0.99
medquad_1088,0.78
medquad_4616,0.83
medquad_8103,0.83
medquad_11390,0.93
medquad_8513,0.81
medquad_10256,0.87
medquad_9770,0.78
medquad_11308,0.85
medquad_7982,0.07
medquad_6578,0.82
medquad_1270,0.8
medquad_820,0.95
medquad_1331,0.98
medquad_7717,0.77
medquad_9262,0.85
medquad_2124,0.86
medquad_7938,0.08
medquad_11707,0.9
medquad_4076,0.82
medquad_1573,0.85
medquad_8378,0.02
medquad_6102,0.93
medquad_462,0.88
medquad_2849,0.72
medquad_234,0.86
medquad_9404,0.89
medquad_2239,0.9
medquad_327,0.91
medquad_9142,0.06
medquad_7744,0.18
medquad_13350,0.84
medquad_2407,0.78
medquad_4812,0.88
medquad_3472,0.89
medquad_657,0.96
medquad_1149,0.99
medquad_13836,0.8
medquad_8774,0.92
medquad_13078,0.69
medquad_12510,0.93
medquad_13755,0.92
medquad_7216,0.75
medquad_12252,0.92
medquad_10445,0.78
medquad_6406,0.27
medquad_11290,0.87
medquad_5390,0.54
medquad_551,0.95
medquad_1473,0.84
medquad_4942,0.73
medquad_8938,0.03
medquad_1934,0.66
medquad_12777,0.71
medquad_4944,0.7
medquad_5175,0.07
medquad_10294,0.67
medquad_13369,0.89
medquad_11327,0.81
medquad_8765,0.78
medquad_4543,0.87
medquad_11213,0.84
medquad_1053,0.92
medquad_8224,0.8
medquad_5847,0.8
medquad_4103,0.92
medquad_8910,0.71
medquad_11232,0.79
medquad_4529,0.89
medquad_214,0.82
medquad_7399,0.71
medquad_737,0.93
medquad_1365,0.92
medquad_621,0.94
medquad_1250,0.85
medquad_14031,0.86
medquad_8169,0.05
medquad_2260,0.86
medquad_10839,0.99
medquad_9284,0.92
medquad_9999,0.92
medquad_13849,0.81
medquad_534,0.93
medquad_11325,0.95
medquad_1524,0.81
medquad_10093,0.76
medquad_9293,0.87
medquad_3163,0.85
medquad_13491,0.87
medquad_2790,0.89
medquad_9429,0.84
medquad_6194,0.83
medquad_650,0.84
medquad_5574,0.9
medquad_4106,0.89
medquad_2346,0.98
medquad_1790,0.86
medquad_5167,0.83
medquad_11985,0.03
medquad_10492,0.83
medquad_2612,0.88
medquad_1425,0.81
medquad_10850,0.8
medquad_6017,0.83
