id,hybrid_meta_score
medquad_7766,0.98
medquad_10367,0.0
medquad_8920,0.24
medquad_10578,0.75
medquad_8951,0.0
medquad_7620,0.82
medquad_3828,0.78
medquad_10061,0.87
medquad_693,0.92
medquad_3719,0.99
medquad_2439,0.9
medquad_6499,0.94
medquad_8869,0.89
medquad_0,0.57
medquad_2315,0.92
medquad_438,0.99
medquad_3313,0.82
medquad_373,0.73
medquad_8950,0.81
medquad_240,0.99
medquad_8948,0.96
medquad_8141,0.58
medquad_343,0.94
medquad_13557,0.99
medquad_4632,0.96
medquad_3807,0.86
medquad_12836,0.98
medquad_6428,0.85
medquad_2655,0.88
medquad_10293,0.69
medquad_11442,0.6
medquad_12782,0.8
medquad_10851,0.99
medquad_6922,0.26
medquad_13194,0.87
medquad_11341,1.0
medquad_4542,0.99
medquad_3791,0.99
medquad_6299,0.68
medquad_13709,0.52
medquad_8512,0.94
medquad_3071,0.77
medquad_3219,0.87
medquad_4155,0.61
medquad_5096,0.69
medquad_12620,0.13
medquad_9223,0.02
medquad_5267,0.03
medquad_2048,0.94
medquad_2950,0.95
medquad_2220,0.87
medquad_12512,0.84
medquad_11276,0.94
medquad_2364,0.87
medquad_7276,0.83
medquad_9377,0.58
medquad_7975,1.0
medquad_825,1.0
medquad_1088,0.99
medquad_4616,0.82
medquad_8103,0.28
medquad_11390,0.97
medquad_8513,0.69
medquad_10256,0.82
medquad_9770,0.87
medquad_11308,0.95
medquad_7982,0.01
medquad_6578,0.68
medquad_1270,0.91
medquad_820,0.93
medquad_1331,0.85
medquad_7717,0.86
medquad_9262,0.78
medquad_2124,0.72
medquad_7938,0.06
medquad_11707,0.9
medquad_4076,0.98
medquad_1573,0.95
medquad_8378,0.16
medquad_6102,0.8
medquad_462,0.65
medquad_2849,0.53
medquad_234,0.97
medquad_9404,0.5
medquad_2239,0.75
medquad_327,0.92
medquad_9142,0.04
medquad_7744,0.1
medquad_13350,0.96
medquad_2407,1.0
medquad_4812,0.8
medquad_3472,0.62
medquad_657,0.95
medquad_1149,0.95
medquad_13836,0.8
medquad_8774,0.86
medquad_13078,0.99
medquad_12510,0.82
medquad_13755,0.97
medquad_7216,0.67
medquad_12252,0.92
medquad_10445,0.69
medquad_6406,0.65
medquad_11290,0.89
medquad_5390,0.27
medquad_551,0.96
medquad_1473,0.81
medquad_4942,0.99
medquad_8938,0.03
medquad_1934,0.96
medquad_12777,0.88
medquad_4944,0.87
medquad_5175,0.17
medquad_10294,0.6
medquad_13369,0.93
medquad_11327,0.89
medquad_8765,0.85
medquad_4543,0.9
medquad_11213,0.64
medquad_1053,0.97
medquad_8224,0.81
medquad_5847,0.55
medquad_4103,0.93
medquad_8910,0.61
medquad_11232,0.86
medquad_4529,0.9
medquad_214,0.92
medquad_7399,0.84
medquad_737,0.94
medquad_1365,0.79
medquad_621,0.92
medquad_1250,0.83
medquad_14031,0.99
medquad_8169,0.0
medquad_2260,0.94
medquad_10839,0.97
medquad_9284,0.68
medquad_9999,0.83
medquad_13849,0.89
medquad_534,0.8
medquad_11325,0.85
medquad_1524,0.91
medquad_10093,0.81
medquad_9293,0.95
medquad_3163,0.89
medquad_13491,0.88
medquad_2790,0.63
medquad_9429,0.94
medquad_6194,0.82
medquad_650,0.62
