id,question,context,reference_answers,generated_answer,accuracy_metric_score,automated_is_correct,is_correct_auto_from_gen,hallucination_type,hallucination_subtype,annotation_rationale,semantic_entropy,normalized_semantic_entropy,naive_entropy,internal_signal_score,hybrid_simple_score,hybrid_meta_score,response_length
medquad_3313,What is (are) Heart Attack ?,,"['A heart attack is when the supply of blood and oxygen to an area of the heart muscle is blocked, usually by a blood clot in a coronary artery.']","A sudden, severe, and often fatal condition that occurs when the heart muscle is deprived of oxygen.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer provides a definition of a heart attack that is not entirely accurate. While it mentions oxygen deprivation, it omits the crucial detail about the blockage of blood supply, usually by a blood clot in a coronary artery, which is a key diagnostic criterion/definition of a heart attack.",1.8255978171031435,0.6502910632208563,3.3278363386320873,0.91,0.8147219805375437,0.61,100
medquad_373,What is the outlook for Craniosynostosis ?,,['Varies depending on suture involvement and presence of other abnormalities.'],"The outlook for Craniosynostosis is good, with most children having a normal life span.",0.0,False,False,Faithfulness,B1_ExtrapolationAddition,"The question asks about the outlook for Craniosynostosis. While the statement ""most children having a normal life span"" might be generally true, it adds a detail not directly addressed or reasonably inferable from the question's scope. The question is open-ended and the answer provides a general statement that is not specific to the individual variations of the condition.",2.2689714755496677,0.6830284734464135,3.553473438384018,0.99,0.986532825903761,1.0,87
medquad_6096,"What is (are) TK2-related mitochondrial DNA depletion syndrome, myopathic form ?",,"['An inherited condition causing progressive muscle weakness (myopathy), typically beginning in early childhood, often leading to respiratory failure.']","A rare autosomal recessive disorder characterized by mitochondrial DNA depletion, muscle weakness, and myopathy.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The incorrect generated answer omits key clinical and temporal features that are part of the established definition of TK2-related mitochondrial DNA depletion syndrome, myopathic form. While it correctly mentions that the condition involves mitochondrial DNA depletion, myopathy, and is autosomal recessive, it fails to include two critical aspects:",2.281592643438302,0.6868278235612035,3.258470110669689,0.98,0.9846029091266506,0.98,112
medquad_12837,What are the symptoms of Popliteal pterygium syndrome lethal type ?,,"['Abnormal hair quantity, abnormality of the genital system, popliteal pterygium, microcephaly']","Lethal type of Popliteal pterygium syndrome, which is characterized by a combination of congenital anomalies, including a pterygium in the popliteal fossa, and a leth",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer describes Popliteal pterygium syndrome lethal type as characterized by ""a combination of congenital anomalies, including a pterygium in the popliteal fossa, and a leth"". This is an incomplete and inaccurate description of the syndrome's symptoms, which include abnormal hair quantity, abnormality of the genital system, popliteal pterygium, and microcephaly. The generated answer misrepresents the established diagnostic criteria/definition of the syndrome.",2.285809154503332,0.6880971198688266,3.615878788817284,0.84,0.9080363937424967,0.91,166
medquad_11342,What are the treatments for Binswanger's disease ?,,"['Medications for symptoms, management of hypertension and diabetes.']","Medication (though not consistently effective), surgery, and lifestyle changes.",0.0,False,False,Faithfulness,B1_ExtrapolationAddition,"The answer includes ""surgery"" and ""lifestyle changes"" as treatments, which are not mentioned in the reference answer and go beyond the scope of the question, even if potentially plausible in a broader context of managing neurological conditions. The question asks for treatments, and the provided answer adds details not directly inferable from the question itself.",2.277235582487729,0.6855162175221448,3.5633266302644606,0.89,0.9333512714587393,0.92,79
medquad_4542,Do you have information about Cocaine,,['Yes'],"Yes, I have information about cocaine.",0.0,False,False,Other/Unclear,Other/Unclear,"The generated answer is technically correct (""Yes, I have information about cocaine."") but doesn't provide any actual information. It's not factually wrong, nor does it violate any explicit instructions in the question. It's more of a non-answer.",1.9964148103868946,0.6654716034622982,3.4798141363987076,0.95,0.8860142032804533,0.88,38
medquad_3791,Who is at risk for Thalassemias? ?,,"['People with a family history of thalassemias, and those of Italian, Greek, Middle Eastern, Southern Asian, and African descent.']","People with a family history of thalassemia, people with a family history of sickle cell disease, people with a family history of hemoglobinopathies, and people with a family history of sickle cell trait",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer incorrectly lists risk factors for thalassemias. While sickle cell disease, other hemoglobinopathies, and sickle cell trait are related to blood disorders, they are not direct risk factors for developing thalassemia. This misrepresents the established risk factors/definition of who is at risk for thalassemia.",2.2733488146778367,0.684346183825186,3.5203412042465443,0.88,0.926679177701751,1.0,203
medquad_6300,What are the genetic changes related to mucopolysaccharidosis type VII ?,,['Mutations in the GUSB gene.'],"Mutations in the HGSN gene that cause the body to produce too much mucopolysaccharide, a type of sugar.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,The answer incorrectly states that mutations in the HGSN gene are related to mucopolysaccharidosis type VII. The correct gene associated with this condition is GUSB. This is a misrepresentation of the established genetic cause (definition) of the disease.,2.2807639650596,0.686578366512456,3.4281871514088516,0.92,0.9510315242523513,1.0,103
medquad_12154,What causes Rotor syndrome ?,,['Mutations in both the SLCO1B1 and SLCO1B3 genes.'],"A rare genetic disorder characterized by a combination of congenital heart defects, scoliosis, and other abnormalities.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer describes a rare genetic disorder with heart defects and scoliosis, which is not Rotor syndrome. Rotor syndrome is a liver disorder, not related to heart defects or scoliosis. The answer misrepresents the definition/characteristics of Rotor syndrome.",2.276588977825278,0.6853215701234108,3.5676006505714453,1.0,0.9942766347088607,1.0,119
medquad_7227,What are the treatments for piebaldism ?,,"['Genetic counseling, Drug therapy, Surgery and Rehabilitation']","Surgery to remove the excess pigment, or laser treatment to lighten the skin.",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer describes treatments for hyperpigmentation, which is the opposite of the hypopigmentation seen in piebaldism. This is a misrepresentation of the established function/purpose of the treatments in the context of piebaldism.",2.253402796405555,0.6783418340311674,3.470942835194359,0.92,0.9431715769819393,0.93,77
