"accuracy_metric_score","annotation_id","annotation_notes","annotator","context","created_at","factuality_subtype_choice","faithfulness_subtype_choice","generated_answer","hallucination_subtype","hallucination_type","high_temp_samples","id","is_correct","lead_time","question","reference_answers","selected_for_annotation","updated_at"
0.0,176,"","1","","2025-04-03T06:54:18.884471Z","A3_DiagnosticCriteriaDefinition","","Tay-Sachs disease","","","[""Lyme disease"",""Tay-Sachs disease"",""Nephroblastoma"",""Cancer"",""Multiple sclerosis"",""leukemia"",""Tay-Sachs disease"",""Tay-Sachs disease"",""Tay-Sachs disease"",""Tay-Sachs disease""]","5a6f960fb750ff445500005c",False,683.061,"Centor criteria are used for which disease?","[""streptococcal pharyngitis""]",True,"2025-04-03T06:54:18.884497Z"
0.0,177,"","1","","2025-04-03T06:54:59.054018Z","Factuality_Other","","HETEROGENEOUS","","","[""TRPV1, TRPV4, TRPV5, TRPV6, TRPV7, TRPV8, TRPV9, TRPV10, TRPV11, TRPV"",""mutations in the A-MYO gene"",""TACHYON 4"",""ALX2"",""ROSA2"",""NGST"",""KRAC"",""HGD-1 and HGD-3 mutations"",""BETA2-CH-LGAP, BETA2-CH-KAP, and TYROBP"",""A25N, A12L, A6L, A12L, A12L, A25N, A12L, A12L, A25N, A12L""]","530cf4e0c8a0b4a00c000004",False,39.91,"Which mutations of alpha-myosin heavy chain gene are implicated in hypertrophic cardiomyopathy?","[""R403Q"",""Q1065H"",""Arg-249-->Gln""]",True,"2025-04-03T06:54:59.054039Z"
0.0,178,"","1","","2025-04-03T06:56:49.696605Z","Factuality_Other","","It inhibits the enzyme that produces the cytokine interleukin-1beta.","","","[""anti-inflammatory, antibacterial, and antiviral activity."",""it is a kinase inhibitor and targets the JAK\/STAT pathway."",""Inhibits the transcription of genes involved in the production of pro-inflammatory cytokines."",""It targets JAK1 and JAK2, and inhibits the production of prostaglandins."",""Inhibits 3D domain-containing proteins involved in inflammation"",""Anti-inflammatory, anti-tumor, and anti-atherosclerotic activities"",""It targets JAK2\/STAT signaling."",""Inhibits the synthesis of JAK inhibitors, including FLT3 inhibitors, resulting in a reduction in JAK activity."",""It is used to treat rheumatoid arthritis."",""it has a dual mechanism of action: it acts by blocking the NF-kappaB pathway and downregulating the expression of genes involved in inflammation and cell growth.""]","5cd96f33a49efeb44c000004",False,110.361,"What is the mode of action of filgotinib?","[""JAK1 inhibitor""]",True,"2025-04-03T06:56:49.696627Z"
0.0,179,"","1","","2025-04-03T06:58:22.744536Z","Factuality_Other","","for 1000 generations","","","[""during the first 2 days after fertilization."",""for about 40 hours"",""for 24 hrs"",""for 150-180 hours"",""for 10-20 hours"",""for 15-20 minutes"",""3-4 days"",""24 hours"",""for 24 hours"",""For approximately 14 hours.""]","5d35e421b3a638076300000d",False,92.782,"For how long do Drosophila embryos use maternal genome mRNA?","[""14 cell divisions""]",True,"2025-04-03T06:58:22.744563Z"
0.0,180,"","1","","2025-04-03T06:59:08.255458Z","Factuality_Other","","10","","","[""2"",""5"",""5"",""5"",""2"",""30"",""7"",""3"",""27"",""10""]","52c7311903868f1b0600001d",False,45.253,"How many different mutations have been associated with Muenke syndrome?","[""One""]",True,"2025-04-03T06:59:08.255477Z"
0.0,181,"","1","","2025-04-03T06:59:53.961197Z","A3_DiagnosticCriteriaDefinition","","Tetanus toxin","","","[""Ketamine"",""Dapsone"",""Diclofenac"",""Erythromycin"",""GSK-338550"",""Tetanus toxin"",""Dilantin"",""L-Dopa"",""TAC"",""Zopiclone""]","56c079b1ef6e394741000022",False,45.445,"Idarucizumab is an antidote of which drug?","[""dabigatran""]",True,"2025-04-03T06:59:53.961228Z"
0.0,182,"","1","","2025-04-03T07:01:35.028676Z","A3_DiagnosticCriteriaDefinition","","BLAST","","","[""HLL"",""Bowtie"",""Univoc"",""Bowtie"",""PFAM"",""LUMAS"",""BLAST"",""BLAST"",""PFAM"",""Dictyostelium discoideum""]","587f7a69d8d850a152000001",False,100.789,"Which library is used for fixed-length approximate string matching?","[""libFLASM""]",True,"2025-04-03T07:01:35.028704Z"
0.0,183,"","1","","2025-04-03T07:28:42.126812Z","A3_DiagnosticCriteriaDefinition","","GENEALOGY","","","[""PHENIX"",""MASCO"",""GENESIS"",""SAGA"",""HOMER"",""BLAST+"",""Genomics Suite"",""Haplotype Sequence Analysis"",""BioEdit"",""SAGE""]","587e07023ec846c24f000001",False,1626.858,"Which software package is available for the analysis of conserved genomic loci?","[""PHYLUCE""]",True,"2025-04-03T07:28:42.126831Z"
0.0,184,"","1","","2025-04-03T07:31:17.835451Z","Factuality_Other","","SWI/SNF complex subunit 1","","","[""SWI\/SNF2B"",""TAC"",""HYAL4"",""HSP90"",""SWI\/SNF-C-1"",""SNAP-43"",""UCHL1"",""KLF3"",""SWI\/SNF0-21"",""FANCA""]","54edf81f94afd61504000014",False,155.46,"Which SWI/SNF protein complex subunit has been demonstrated to interact with the FANCA gene product?","[""BRG1""]",True,"2025-04-03T07:31:17.835472Z"
0.0,185,"","1","","2025-04-03T07:33:41.549687Z","A3_DiagnosticCriteriaDefinition","","The KDEL retention signal is a protein that is involved in the regulation of cell division.","","","[""It is a protein that helps regulate the activity of the transcription factor DIR4"",""KDEL"",""The KDEL retention signal is an enhancer of E3 ligase activity."",""It is a signal that allows for the recognition of the cellular compartmentalization of the retina."",""KDEL retention signal"",""a protein that helps stabilize ribosomes."",""The KDEL retention signal is a protein involved in the maintenance of cell fate in embryonic development. It has been implicated in the regulation of cell fate in several cell types, including embryonic stem cells."",""KDEL is a protein involved in regulating cell migration."",""The KDEL retention signal is a protein that is present in a subset of cells of the immune system. It is associated with T-cell activation and has been implicated in several autoimmune diseases."",""The KDEL retention signal is a protein that is involved in regulating the activity of HIF-1.""]","623e02e0f0baec9a1b000005",False,143.453,"What is the KDEL retention signal?","[""ER retention sequence (KDEL)""]",True,"2025-04-03T07:33:41.549712Z"
