id,question,context,reference_answers,generated_answer,accuracy_metric_score,automated_is_correct,is_correct_auto_from_gen,hallucination_type,hallucination_subtype,annotation_rationale,semantic_entropy,normalized_semantic_entropy,naive_entropy,internal_signal_score,hybrid_simple_score,hybrid_meta_score,response_length
533c3af6c45e13371400000d,Which pathological conditions are caused by mutations in the CYLD gene?,,"['Brooke-Spiegler syndrome', 'Cylindromatosis', 'Multiple Familial Trichoepithelioma']","Cystic fibrosis, Duchenne muscular dystrophy, and spinal muscular atrophy",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The generated answer lists cystic fibrosis, Duchenne muscular dystrophy, and spinal muscular atrophy as conditions caused by mutations in the CYLD gene. This is factually incorrect; these conditions are caused by mutations in other genes (CFTR, DMD, and SMN1 respectively). The error lies in misrepresenting the established genetic causes of these diseases, which falls under misrepresenting the established function/purpose of a medical concept (gene-disease relationship).",2.270849970102418,0.6835939566534828,3.476138749590759,0.82,0.9008108756888515,0.8876091129141631,73
51766e438ed59a060a000031,Name the factors required for selenoprotein synthesis in eukaryotes,,"['eFSec', 'SBP2', 'SECp43', 'PSTK', 'Sec synthase', 'SPS2', 'tRNASec', 'SECIS element', '(L30)', 'SPS1']",Selenoprotein synthesis requires the following factors:,0.0,False,False,Faithfulness,A2_InstructionMisinterpretation,"The question asks for a list of factors, but the answer only provides an introductory sentence and omits the actual list. This is a failure to follow the specific task instructed by the question.",2.190823642516011,0.6595036316071423,3.2325568470837185,0.95,0.951768483125458,0.9239021246312528,55
58dbbdac8acda3452900001e,Is hydroxyurea usually used to treated infectious disease?,,['no'],yes,0.0,False,False,Factuality,A2_ContraindicationIndication,"The generated answer incorrectly states that hydroxyurea is used to treat infectious diseases, which is incorrect. Hydroxyurea is not indicated for infectious diseases.",2.220446049250313e-16,0.0,-0.0,0.37,0.16842105263157903,0.1478080558400625,3
52c7311903868f1b0600001d,How many different mutations have been associated with Muenke syndrome?,,['One'],10,0.0,False,False,Factuality,B1_StatisticalEpidemiological,"The answer provides an incorrect number of mutations associated with Muenke syndrome, which is a statistical/epidemiological fact.",2.140026783613412,0.6751032856107645,3.5678346692454936,0.98,0.9564730027916992,0.8752001720802155,2
56c079b1ef6e394741000022,Idarucizumab is an antidote of which drug?,,['dabigatran'],ACE inhibitors,0.0,False,False,Factuality,A2_ContraindicationIndication,"Idarucizumab is a reversal agent for dabigatran, not ACE inhibitors. Stating it's an antidote for ACE inhibitors is factually incorrect and implies an incorrect indication/contraindication.",2.218744850651798,0.6679087527711913,3.364648573927901,0.97,0.9683877998405366,0.895890622317682,14
56e30dd551531f7e33000016,List core circadian clock genes.,,"['CLOCK', 'BMAL1', 'Per', 'Cry', 'CKlε']","GATA6, GATA7, GATA8, GATA9, GATA10, GATA11, GATA12, GATA13, GATA14, GATA15, GATA16",0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The answer lists GATA genes, which are transcription factors involved in development and differentiation, not core circadian clock genes. This is a misrepresentation of the established function/purpose of circadian clock genes.",2.1279768636154803,0.6405848660272204,2.9778980107976127,0.98,0.9538434541939521,0.9272578524570156,82
587f7a69d8d850a152000001,Which library is used for fixed-length approximate string matching?,,['libFLASM'],BLAST,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"BLAST (Basic Local Alignment Search Tool) is a sequence alignment algorithm used for comparing biological sequences, such as DNA or protein sequences, to identify regions of similarity. It is not specifically designed or primarily used for fixed-length approximate string matching. libFLASM is the correct library for that purpose. The model misrepresents the function of BLAST.",1.2864041981395258,0.4582264209032313,2.5502446244795705,0.86,0.7070365208921756,0.7096800100659304,5
5c7161f47c78d69471000066,What is etarfolatide used for?,,['companion imaging agent'],etarfolatide is used for the treatment of chronic kidney disease.,0.0,False,False,Factuality,A2_ContraindicationIndication,"The generated answer states that etarfolatide is used for the treatment of chronic kidney disease, which is incorrect. Etarfolatide is a companion imaging agent, not a treatment for chronic kidney disease. This is a factuality error related to incorrect indication.",1.9029694460769855,0.6003200218336827,3.135547370322318,0.94,0.883689422823754,0.8916450123316544,65
5c6aef167c78d69471000023,Which tool has been developed for GPU-accelerated alignment of bisulfite-treated DNA sequences?,,['Arioc'],Bisulfite-seq,0.0,False,False,Factuality,A3_DiagnosticCriteriaDefinition,"The answer ""Bisulfite-seq"" is a sequencing technique, not a tool developed for GPU-accelerated alignment of bisulfite-treated DNA sequences. This misrepresents the function/purpose of bisulfite sequencing in relation to the question's request for a specific alignment tool.",1.6866315693906795,0.532073020220751,2.6274110061037397,0.96,0.8470062168589181,0.8299385819596534,13
587e07023ec846c24f000001,Which software package is available for the analysis of conserved genomic loci?,,['PHYLUCE'],GENESEQ,0.0,False,False,Factuality,B2_FabricatedEntityGuideline,"The answer ""GENESEQ"" is not a known software package for the analysis of conserved genomic loci. It appears to be a fabricated entity in the context of the question.",1.9109890518376633,0.6369963506125544,2.764954246605277,0.9,0.8643868396340154,0.8561572535474297,7
