id,hybrid_meta_score
medquad_7766,0.98
medquad_10367,0.01
medquad_8920,0.0
medquad_10578,0.85
medquad_8951,0.01
medquad_7620,0.79
medquad_3828,0.81
medquad_10061,0.8
medquad_693,0.87
medquad_3719,0.89
medquad_2439,0.98
medquad_6499,0.92
medquad_8869,0.92
medquad_0,0.98
medquad_2315,0.88
medquad_438,0.55
medquad_3313,0.95
medquad_373,0.74
medquad_8950,0.91
medquad_240,0.94
medquad_8948,0.7
medquad_8141,0.93
medquad_343,0.88
medquad_13557,0.66
medquad_4632,0.65
medquad_3807,0.73
medquad_12836,0.95
medquad_6428,0.78
medquad_2655,0.75
medquad_10293,0.99
medquad_11442,0.76
medquad_12782,0.65
medquad_10851,0.71
medquad_6922,0.21
medquad_13194,0.82
medquad_11341,1.0
medquad_4542,0.31
medquad_3791,0.85
medquad_6299,0.87
medquad_13709,0.38
medquad_8512,0.83
medquad_3071,0.45
medquad_3219,0.7
medquad_4155,0.1
medquad_5096,0.56
medquad_12620,0.06
medquad_9223,0.0
medquad_5267,0.0
medquad_2048,0.9
medquad_2950,1.0
medquad_2220,0.49
medquad_12512,0.81
medquad_11276,0.89
medquad_2364,0.93
medquad_7276,0.75
medquad_9377,0.9
medquad_7975,0.53
medquad_825,0.95
medquad_1088,0.83
medquad_4616,0.89
medquad_8103,0.94
medquad_11390,0.68
medquad_8513,0.63
medquad_10256,0.99
medquad_9770,0.76
medquad_11308,0.94
medquad_7982,0.17
medquad_6578,0.95
medquad_1270,0.84
medquad_820,0.99
medquad_1331,0.55
medquad_7717,0.87
medquad_9262,0.97
medquad_2124,0.96
medquad_7938,0.03
medquad_11707,0.95
medquad_4076,0.86
medquad_1573,0.89
medquad_8378,0.0
medquad_6102,0.93
medquad_462,0.62
medquad_2849,0.85
medquad_234,0.96
medquad_9404,0.97
medquad_2239,0.89
medquad_327,0.99
medquad_9142,0.0
medquad_7744,0.38
medquad_13350,0.85
medquad_2407,1.0
medquad_4812,0.61
medquad_3472,0.7
medquad_657,0.97
medquad_1149,0.81
medquad_13836,0.59
medquad_8774,1.0
medquad_13078,0.39
medquad_12510,0.67
medquad_13755,0.98
medquad_7216,0.75
medquad_12252,0.87
medquad_10445,0.9
medquad_6406,0.21
medquad_11290,0.93
medquad_5390,0.07
medquad_551,0.99
medquad_1473,0.92
medquad_4942,0.84
medquad_8938,0.04
medquad_1934,0.91
medquad_12777,0.88
medquad_4944,0.68
medquad_5175,0.29
medquad_10294,0.93
medquad_13369,0.54
medquad_11327,0.53
medquad_8765,0.67
medquad_4543,0.76
medquad_11213,0.9
medquad_1053,0.81
medquad_8224,0.91
medquad_5847,0.9
medquad_4103,0.92
medquad_8910,0.65
medquad_11232,0.93
medquad_4529,0.74
medquad_214,0.63
medquad_7399,0.74
medquad_737,0.93
medquad_1365,0.86
medquad_621,0.95
medquad_1250,0.89
medquad_14031,0.9
medquad_8169,0.04
medquad_2260,0.97
medquad_10839,0.92
medquad_9284,0.34
medquad_9999,0.89
medquad_13849,0.82
medquad_534,0.71
medquad_11325,0.96
medquad_1524,0.84
medquad_10093,0.85
medquad_9293,0.84
medquad_3163,0.88
medquad_13491,0.78
medquad_2790,0.78
medquad_9429,0.92
medquad_6194,0.7
medquad_650,0.86
medquad_5574,0.96
medquad_4106,0.83
medquad_2346,0.87
medquad_1790,0.96
medquad_5167,1.0
medquad_11985,0.2
medquad_10492,0.31
medquad_2612,0.88
medquad_1425,0.36
medquad_10850,0.98
medquad_6017,0.44
medquad_4195,0.89
medquad_9643,0.64
medquad_267,0.98
medquad_13503,0.94
medquad_5387,0.91
medquad_392,0.75
medquad_13680,0.35
medquad_10126,0.98
medquad_11709,0.89
medquad_5188,0.8
medquad_2645,0.77
medquad_10521,0.78
medquad_1646,0.91
medquad_7383,0.9
medquad_14010,0.86
medquad_13720,0.87
medquad_9585,0.91
medquad_11517,0.92
medquad_10165,0.87
medquad_2550,1.0
medquad_7632,0.82
medquad_8255,0.96
medquad_4514,0.06
medquad_12048,0.92
medquad_7993,0.62
medquad_6148,0.96
medquad_2703,0.95
medquad_11055,0.61
medquad_13777,0.93
medquad_12609,1.0
medquad_2840,0.82
medquad_5719,0.4
medquad_866,0.94
medquad_9783,0.86
medquad_9369,0.47
medquad_3901,0.79
medquad_3558,0.83
medquad_1518,1.0
medquad_9953,0.8
medquad_6582,0.95
medquad_9224,0.57
medquad_8346,0.91
medquad_8139,0.2
medquad_5191,0.03
medquad_13890,0.94
medquad_8615,0.88
medquad_8172,0.83
medquad_6790,0.83
medquad_4730,0.93
medquad_4857,0.83
medquad_92,0.93
medquad_8564,0.86
medquad_255,1.0
medquad_8477,0.88
medquad_10733,0.56
medquad_150,0.5
medquad_8801,0.0
medquad_4160,0.98
medquad_8487,0.48
medquad_1212,0.98
medquad_13716,0.84
medquad_6938,0.78
medquad_10581,0.98
medquad_8891,0.92
medquad_2711,0.62
medquad_11057,0.88
medquad_7852,1.0
medquad_7591,0.33
medquad_13380,0.87
medquad_13909,0.7
medquad_8356,0.98
medquad_811,0.88
medquad_1289,0.82
medquad_2375,0.97
medquad_13639,0.63
medquad_14068,0.75
medquad_12856,0.86
medquad_11102,0.51
medquad_10242,0.61
medquad_3988,0.91
medquad_13534,0.64
medquad_10351,0.91
medquad_14044,0.75
medquad_874,0.8
medquad_2916,0.72
medquad_2641,0.89
medquad_1964,0.71
medquad_1072,1.0
medquad_7687,0.87
medquad_4063,0.06
medquad_13772,0.94
medquad_4366,0.88
medquad_9766,0.94
medquad_4140,0.97
medquad_2240,0.92
medquad_7996,0.61
medquad_6560,0.96
medquad_6895,0.9
medquad_7547,0.61
medquad_11528,0.87
medquad_4475,0.71
medquad_413,0.91
medquad_5613,0.93
medquad_2263,0.91
medquad_8963,0.02
medquad_12968,0.64
medquad_3771,1.0
medquad_4538,0.38
medquad_2656,0.91
medquad_3616,0.89
medquad_9280,0.91
medquad_9506,0.71
medquad_6592,0.79
medquad_7139,0.31
medquad_4796,0.72
medquad_11489,0.82
medquad_8994,0.99
medquad_7454,0.9
medquad_11665,0.72
medquad_2530,0.93
medquad_11022,1.0
medquad_10875,0.89
medquad_11473,0.63
medquad_1253,0.82
